"","hosts","hostclean","group"
"418","Scomberomorus cavalla","Scomberomorus cavalla",NA
"419","Scopelus heideri","Scopelus heideri",NA
"420","Sparus rajus","Sparus rajus",NA
"421","Sphyraena barracuda","Sphyraena barracuda",NA
"422","Stenella coeruleoalba","Stenella coeruleoalba",NA
"423","Stenella frontalis","Stenella frontalis",NA
"424","Thunnus alalunga","Thunnus alalunga",NA
"425","Thunnus albacares","Thunnus albacares",NA
"426","Trachurus picturatus","Trachurus picturatus",NA
"427","Ziphius cavirostris","Ziphius cavirostris",NA
"428","Mullus surmuletus","Mullus surmuletus",NA
"429","Pseudupeneus prayensis","Pseudupeneus prayensis",NA
"430","Diapterus olisthostomus","Diapterus olisthostomus",NA
"431","Discapseudes holthuisi","Discapseudes holthuisi",NA
"432","Eugerres plumieri","Eugerres plumieri",NA
"433","Dissostichus eleginoides","Dissostichus eleginoides",NA
"434","Muraenolepis microps","Muraenolepis microps",NA
"435","Notothenia squamifrons","Notothenia squamifrons",NA
"436","Nototheniops nudifrons","Nototheniops nudifrons",NA
"437","Patagonotothen brevicauda","Patagonotothen brevicauda",NA
"438","Arctocephalus australis","Arctocephalus australis",NA
"439","Conger orbignyanus","Conger orbignyanus",NA
"440","Cynoscion guatucupa","Cynoscion guatucupa",NA
"441","Engraulis anchoita","Engraulis anchoita",NA
"442","Galeorhinus galeus","Galeorhinus galeus",NA
"443","Genypterus brasiliensis","Genypterus brasiliensis",NA
"444","Hexanchus griseus","Hexanchus griseus",NA
"445","Lagenorhynchus obscurus","Lagenorhynchus obscurus",NA
"446","Merluccius hubbsi","Merluccius hubbsi",NA
"447","Micropogon opercularis","Micropogon opercularis",NA
"448","Micropogonias furnieri","Micropogonias furnieri",NA
"449","Mirounga leonina","Mirounga leonina",NA
"450","Porichthys porosissimus","Porichthys porosissimus",NA
"451","Squalus megalops","Squalus megalops",NA
"452","Artedidraco mirus","Artedidraco mirus",NA
"453","Notothenia gibberifrons","Notothenia gibberifrons",NA
"454","Notothenia larseni","Notothenia larseni",NA
"455","Delphinapterus leucas","Delphinapterus leucas",NA
"456","Pontoporia blainvillei","Pontoporia blainvillei",NA
"457","Osmerus eperlanus","Osmerus eperlanus",NA
"458","Gymnocephalus cernuus","Gymnocephalus cernuus",NA
"459","Halichoerus grypus","Halichoerus grypus",NA
"460","Hippoglossus hippoglossus","Hippoglossus hippoglossus",NA
