"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","MSW93_Order","MSW93_Family","MSW93_Genus","MSW93_Species","MSW93_Binomial","X14.1_InterBirthInterval_d","X26.4_GR_MRLat_dd","X26.7_GR_MRLong_dd"
"552","Primates","Atelidae","Lagothrix","poeppigii","Lagothrix poeppigii",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,667396.02,0.12,-10.58,-5.22,-65.94,-78.72,-72.33,0,5.24,0,0.12,212.67,252.83,1462.22,1487.28,NA,NA,NA,NA,NA,NA,NA,NA
"553","Rodentia","Cricetidae","Lagurus","lagurus","Lagurus lagurus",-999,20.6,-999,92.52,-999,54.5,-999,-999,-999,-999,20.24,-999,-999,-999,27.5,4,5.25,-999,1.25,-999,-999,-999,41.82,-999,-999,-999,-999,20.84,5.75,-999,"1297;1849;3011",-999,-999,-999,-999,3753224.56,55.47,42.39,48.93,97.88,34.12,66,0,17.48,1,0.01,24.13,30.27,310.83,544.93,NA,NA,NA,NA,NA,NA,NA,NA
"554","Artiodactyla","Camelidae","Lama","glama","Lama glama",-999,78322.67,-999,1595.1,-999,-999,-999,-999,2,-999,342.74,1,-999,-999,-999,1,1,339.6,8999.99,-999,0.45,8,676.66,-999,-999,1,1,131.7,29000,-999,"543;613;730;890;1015;1297;1594;1848;2655",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA
"555","Rodentia","Muridae","Lamottemys","okuensis","Lamottemys okuensis",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,10305.29,7.13,6.09,6.61,10.98,9.9,10.44,29,54.51,29,0.1,154.51,227.73,1156.91,1507.88,NA,NA,NA,NA,NA,NA,NA,NA
"556","Artiodactyla","Bovidae","Eudorcas","rufina","Eudorcas rufina",-999,39999.99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2655",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA
"557","Artiodactyla","Bovidae","Eudorcas","thomsonii","Eudorcas thomsonii",2,22907.43,-999,885,-999,552.51,-999,-999,2,-999,166.14,1,-999,-999,193.9,1,-999,182.04,2500,-999,12.53,-999,418.38,-999,-999,1,1,93.25,-999,-999,"543;730;869;917;1297;1525;1848;2655;2693;2986;3057",-999,1.51,-999,-999,515821.13,9.45,-5.61,1.91,38.38,30.41,34.4,0,50.73,3,0.15,72.57,227.28,947.32,1556.92,NA,NA,NA,NA,NA,NA,NA,NA
"558","Primates","Lemuridae","Eulemur","albifrons","Eulemur albifrons",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,35602.37,-13.62,-17.37,-15.5,50.46,48.67,49.57,8,27.32,11,0.18,168.69,201.58,1398.17,1669.01,NA,NA,NA,NA,NA,NA,NA,NA
"559","Primates","Lemuridae","Eulemur","albocollaris","Eulemur albocollaris",-999,2397.37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1547",-999,-999,-999,-999,1864.78,-22.66,-23.14,-22.9,47.8,46.97,47.38,8,35.98,8,0.19,187.78,217.39,1341.94,1472.19,NA,NA,NA,NA,NA,NA,NA,NA
"560","Primates","Lemuridae","Eulemur","cinereiceps","Eulemur cinereiceps",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,103.56,-13.31,-13.42,-13.37,49.87,49.76,49.82,13,13,13,0.18,114,241,1149,1476,NA,NA,NA,NA,NA,NA,NA,NA
"561","Primates","Lemuridae","Eulemur","collaris","Eulemur collaris",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,12809.32,-22.98,-25.17,-24.08,47.56,46.55,47.05,6,26.54,6,0.23,155.37,202.21,1280.94,1626.14,NA,NA,NA,NA,NA,NA,NA,NA
"562","Primates","Lemuridae","Eulemur","coronatus","Eulemur coronatus",2,1699.85,-999,352.27,-999,-999,-999,-999,4,-999,124.04,2,0.05,-999,-999,1.53,-999,220.8,57.81,-999,101.98,-999,701.52,6.95,-999,2,2,-999,-999,-999,"543;899;1046;1048;1261;1297;1544;1545;1546;1547;1848;2151;2344;2655",-999,-999,-999,-999,5720.16,-12.3,-13.81,-13.06,49.8,48.87,49.33,9,19.4,9,0.17,105.09,237.79,1253.32,1527.97,NA,NA,NA,NA,NA,NA,NA,NA
"563","Primates","Lemuridae","Eulemur","fulvus","Eulemur fulvus",2,2376.99,-999,469.62,-999,970.9,746,2374.5,3,-999,120.83,1,0.05,0.00875,547.5,1.1,-999,444,74.99,-999,221,9.25,791.75,9.15,3,2,1,134.64,-999,-999,"208;543;730;732;1046;1048;1261;1297;1544;1546;1547;1822;1848;2041;2151;2344;2428;2489;2493;2655;2660;2986;3086",-999,0.89,-999,-999,25656.44,-13.29,-19.99,-16.64,49.15,46.53,47.84,8,37.29,8,0.18,156.13,214.16,1179.32,1588.53,NA,NA,NA,NA,NA,NA,NA,NA
"564","Primates","Lemuridae","Eulemur","macaco","Eulemur macaco",2,2470.43,-999,397.11,-999,868.7,-999,-999,4,-999,127.49,1,0.03,-999,365,1.04,1,360,60.5,-999,53.85,9.5,660.75,9.2,-999,2,2,143.28,-999,-999,"208;543;1015;1046;1048;1261;1297;1544;1545;1546;1547;1848;2151;2344;2428;2493;2655;2986",-999,-999,-999,-999,8406.83,-13.31,-14.58,-13.94,49.06,47.81,48.44,8,22.02,8,0.18,134.19,222.55,1188.63,1717.63,NA,NA,NA,NA,NA,NA,NA,NA
