"","Parasite","genus","year","hs","first"
"101860","Lepocreadium xanthichthydis","Lepocreadium",1970,1,"not the first"
"101865","Lepotrema incisum","Lepotrema",1955,0,"not the first"
"101866","Lepotrema xanthichthydis","Lepotrema",1970,1,"not the first"
"101867","Lobatocreadium exiguum","Lobatocreadium",1963,3,"not the first"
"101871","Makairatrema musculicola","Makairatrema",1970,2,"exclude"
"101873","Neodidymozooides microstoma","Neodidymozooides",1970,1,"exclude"
"101875","Neonematobothrioides poonui","Neonematobothrioides",1970,1,"exclude"
"101878","Neoparacardicola nasonis","Neoparacardicola",1970,1,"exclude"
"101883","Opisthorchinematobothrium parathunni","Opisthorchinematobothrium",1970,2,"first"
"101885","Orbitonematobothrium perioculare","Orbitonematobothrium",1970,2,"exclude"
"101886","Osteodidymocodium kawakawa","Osteodidymocodium",1970,2,"exclude"
"101888","Platocystis vivipara","Platocystis",1970,2,"not the first"
"101890","Plerurus kawakawa","Plerurus",1970,2,"not the first"
"101892","Podocotyloides stenometra","Podocotyloides",1966,9,"first"
"101912","Reniforma multilobularis","Reniforma",1970,1,"first"
"101914","Rhipidocotyle kawakawa","Rhipidocotyle",1970,1,"not the first"
"101916","Schikhobalotrema crassum","Schikhobalotrema",1961,1,"not the first"
"101917","Schikhobalotrema glomerosum","Schikhobalotrema",1961,2,"not the first"
"101919","Schikhobalotrema hawaiiense","Schikhobalotrema",1961,3,"not the first"
"101921","Sicuotrema auxis","Sicuotrema",1970,1,"exclude"
"101922","Stephanostomum hawaiiense","Stephanostomum",1970,1,"not the first"
"101923","Stephanostomum kawalea","Stephanostomum",1970,1,"not the first"
"101924","Stephanostomum nunu","Stephanostomum",1970,1,"not the first"
"101926","Stephanostomum polymixiae","Stephanostomum",1970,1,"not the first"
"101928","Stephanostomum uku","Stephanostomum",1970,1,"not the first"
"101929","Stephanostomum yagara","Stephanostomum",1970,1,"not the first"
"101935","Tormopsolus hawaiiensis","Tormopsolus",1970,1,"not the first"
"101936","Triplocystoides yaito","Triplocystoides",1970,1,"exclude"
"101937","Univitellodidymocystis neothunni","Univitellodidymocystis",1970,3,"not the first"
"101940","Wedlia abdominalis","Wedlia",1970,1,"not the first"
"101941","Wedlia pylorica","Wedlia",1970,1,"not the first"
"101942","Wedlia retrorbitalis","Wedlia",1970,2,"not the first"
"101944","Weketrema hawaiiense","Weketrema",1970,4,"exclude"
"102065","Azygia pristipomai","Azygia",1928,2,"not the first"
"102070","Bucephaloides philippinorum","Bucephaloides",1959,0,"not the first"
"102071","Bucephaloides sibi","Bucephaloides",1940,1,"not the first"
"102072","Bucephalus paraheterotentaculatus","Bucephalus",1959,1,"not the first"
"102073","Carassotrema philippinensis","Carassotrema",1996,1,"not the first"
"102074","Cleptodiscus bulbosus","Cleptodiscus",1955,1,"not the first"
"102075","Deretrema philippinensis","Deretrema",1982,1,"not the first"
"102079","Erilepturus lemeriensis","Erilepturus",1934,3,"first"
"102081","Genolinea awa","Genolinea",1965,1,"not the first"
"102084","Hamacreadium lethrini","Hamacreadium",1934,6,"not the first"
"102086","Helicometra nasae","Helicometra",1962,1,"not the first"
"102087","Hemiurus sigani","Hemiurus",1964,2,"not the first"
"102089","Hexangium leptosomum","Hexangium",1990,1,"not the first"
"102098","Hurleytrematoides malabonensis","Hurleytrematoides",1961,1,"not the first"
"102099","Hysterolecitha acanthuri","Hysterolecitha",1947,1,"not the first"
"102100","Isorchis parvus","Isorchis",1969,1,"exclude"
"102101","Lecithochirium magnaporum","Lecithochirium",1940,7,"not the first"
"102105","Lecithocladium chingi","Lecithocladium",1960,5,"not the first"
"102107","Lecithophyllum cheilionis","Lecithophyllum",1964,1,"not the first"
"102108","Macvicaria longisaccus","Macvicaria",1964,1,"not the first"
"102109","Megasolena acanthuri","Megasolena",1991,3,"exclude"
"102119","Paracryptogonimus manilensis","Paracryptogonimus",1961,3,"not the first"
"102122","Paracryptogonimus orientalis","Paracryptogonimus",1964,1,"not the first"
"102124","Paropecoelus palawanensis","Paropecoelus",1964,2,"exclude"
"102128","Propycnadenoides philippinensis","Propycnadenoides",1964,2,"exclude"
"102131","Prosorhynchoides philippinorum","Prosorhynchoides",1959,0,"not the first"
"102132","Prosorhynchoides sibi","Prosorhynchoides",1940,2,"not the first"
"102136","Prosorhynchus luzonicus","Prosorhynchus",1959,1,"not the first"
"102137","Prosorhynchus mcintoshi","Prosorhynchus",1959,1,"not the first"
"102138","Prosorhynchus pacificus","Prosorhynchus",1940,3,"not the first"
"102139","Prosorhynchus paracrucibulus","Prosorhynchus",1959,1,"not the first"
"102140","Pseudobunocotyla awa","Pseudobunocotyla",1965,1,"first"
"102141","Pseudometadena celebesensis","Pseudometadena",1952,1,"exclude"
"102143","Rhipidocotyle eggletoni","Rhipidocotyle",1959,2,"not the first"
"102145","Rhipidocotyle laruei","Rhipidocotyle",1959,1,"not the first"
"102147","Stictodora palmifera","Stictodora",1943,1,"not the first"
"102151","Transversotrema haasi","Transversotrema",1944,4,"not the first"
"102171","Amphiorchis indicus","Amphiorchis",1973,2,"not the first"
"102172","Cetiosaccus gilberti","Cetiosaccus",1973,1,"not the first"
"102173","Deuterobaris intestinalis","Deuterobaris",1973,1,"not the first"
"102174","Diaschistorchis mannarensis","Diaschistorchis",1976,1,"not the first"
"102175","Enodiotrema schikhobalovae","Enodiotrema",1973,1,"not the first"
"102176","Hapalotrema pambanensis","Hapalotrema",1973,1,"not the first"
"102177","Microscaphidium chelonei","Microscaphidium",1973,1,"not the first"
"102178","Neoadenogaster glandularis","Neoadenogaster",1973,1,"exclude"
"102180","Stephanostomum ceylonicum","Stephanostomum",1906,1,"not the first"
"102181","Amphimerus vallecaucensis","Amphimerus",1970,1,"not the first"
"102182","Ascocotyle howei","Ascocotyle",1999,1,"not the first"
"102186","Chalcinotrema lucieni","Chalcinotrema",1977,1,"not the first"
"102187","Chalcinotrema ruedasueltensis","Chalcinotrema",1978,1,"not the first"
"102190","Dadaytremoides grandistomis","Dadaytremoides",1979,1,"first"
"102193","Glypthelmins robustus","Glypthelmins",NA,0,"not the first"
"102196","Himasthla muehlensi","Himasthla",1933,1,"not the first"
"102198","Lecithobotrioides mediacanoensis","Lecithobotrioides",1974,1,"first"
"102200","Limatulum umbilicatum","Limatulum",1990,1,"not the first"
"102201","Mesocoelium sociale","Mesocoelium",1901,0,"not the first"
"102208","Paryphostomum parvicephalum","Paryphostomum",1978,2,"not the first"
"102211","Prosthodendrium calimaense","Prosthodendrium",1982,1,"not the first"
"102213","Saccocoelioides leporinodus","Saccocoelioides",1978,0,"not the first"
"102215","Saccocoelioides magnorchis","Saccocoelioides",1978,1,"not the first"
"102216","Saccocoelioides saccodontis","Saccocoelioides",1978,1,"not the first"
"102217","Sturniratrema umbilicata","Sturniratrema",1992,1,"exclude"
"102218","Unicoelium prochilodorum","Unicoelium",1975,1,"exclude"
"102219","Cercaria gunnisoni","Cercaria",1923,1,"not the first"
"102221","Cyclocoelum lanceolatum","Cyclocoelum",1858,2,"not the first"
"102222","Cyclocoelum tringae","Cyclocoelum",1892,4,"not the first"
"102225","Glypthelmins hyloreus","Glypthelmins",1969,1,"not the first"
"102232","Paramonostomum malerischi","Paramonostomum",1957,1,"not the first"
"102235","Quinqueserialis hassalli","Quinqueserialis",1934,5,"not the first"
"102238","Scaphiostomum microti","Scaphiostomum",1959,2,"not the first"
"102275","Longiductotrema scandolensis","Longiductotrema",1988,1,"exclude"
"102276","Megalophallus carcini","Megalophallus",1970,1,"not the first"
"102277","Nephromonorcha lari","Nephromonorcha",1933,1,"exclude"
"102281","Stictodora sawakinensis","Stictodora",1899,6,"first"
"102416","Allocreadium carparum","Allocreadium",1959,1,"not the first"
"102417","Allocreadium dogieli","Allocreadium",1950,1,"not the first"
"102435","Allocreadium markewitschi","Allocreadium",1949,5,"not the first"
"102438","Allocreadium papilligerum","Allocreadium",1968,1,"not the first"
"102441","Amphimerus anatis","Amphimerus",1933,3,"not the first"
"102464","Apatemon minor","Apatemon",1933,12,"not the first"
"102526","Asymphylodora markewitschi","Asymphylodora",1947,7,"not the first"
