"","Parasite","genus","year","hs","first"
"22526","Cylindrotaenia quadrijugosa","Cylindrotaenia",NA,0,"not the first"
"22528","Glaridacris oligorchis","Glaridacris",1953,1,"not the first"
"22529","Khawia iowensis","Khawia",1961,2,"not the first"
"22531","Nematotaenoides ranae","Nematotaenoides",1976,0,"exclude"
"22532","Ophiotaenia saphenus","Ophiotaenia",1931,0,"not the first"
"22536","Tatria duodecacantha","Tatria",1939,1,"not the first"
"22541","Cloacotaeniella tringae","Cloacotaeniella",1988,1,"exclude"
"22560","Hymenolepis collaris","Hymenolepis",NA,4,"not the first"
"22567","Joyeuxiella fuhrmanni","Joyeuxiella",1924,1,"not the first"
"22568","Mathevotaenia rodentium","Mathevotaenia",1927,1,"not the first"
"22573","Microsomacanthus passeris","Microsomacanthus",NA,1,"not the first"
"22594","Biuterina diversihamata","Biuterina",1994,1,"not the first"
"22602","Cotugnia attariyana","Cotugnia",1989,1,"not the first"
"22603","Cotugnia francolini","Cotugnia",1989,1,"not the first"
"22604","Cotugnia iraqensis","Cotugnia",1989,1,"not the first"
"22605","Cotugnia latiproglottina","Cotugnia",1990,0,"not the first"
"22606","Cotugnia paucitesticulata","Cotugnia",1989,1,"not the first"
"22607","Cotugnia satpuliensis","Cotugnia",1983,1,"not the first"
"22612","Dicranotaenia tsengi","Dicranotaenia",1940,1,"not the first"
"22613","Dilepis campylancristrota","Dilepis",1855,1,"not the first"
"22614","Dilepis longisaccata","Dilepis",1987,1,"not the first"
"22615","Dilepis passeris","Dilepis",1990,1,"not the first"
"22631","Echinococcus iraqii","Echinococcus",2002,1,"not the first"
"22632","Echinorhynchotaenia tritesticulata","Echinorhynchotaenia",1909,3,"exclude"
"22642","Hymenolepis rhinopomae","Hymenolepis",1989,1,"not the first"
"22646","Khawia barbi","Khawia",2003,1,"not the first"
"22647","Khawia grypi","Khawia",1992,1,"not the first"
"22648","Khawia lutei","Khawia",2003,1,"not the first"
"22651","Liga gallinulae","Liga",1858,2,"not the first"
"22656","Oochoristica agamae","Oochoristica",1919,2,"not the first"
"22657","Oochoristica nupta","Oochoristica",1988,0,"not the first"
"22658","Panuwa valelli","Panuwa",1959,1,"not the first"
"22664","Parvibursa chrysolampidis","Parvibursa",1936,1,"exclude"
"22665","Passerilepis acollaria","Passerilepis",1987,1,"not the first"
"22666","Postgangesia inarmata","Postgangesia",2003,1,"exclude"
"22671","Raillietina carpophagi","Raillietina",1927,1,"not the first"
"22672","Raillietina francolini","Raillietina",1989,1,"not the first"
"22673","Senga mastacembeli","Senga",1992,0,"not the first"
"22675","Sobolevicanthus javanensis","Sobolevicanthus",1945,0,"not the first"
"22693","Vampirolepis iraqensis","Vampirolepis",NA,1,"not the first"
"22694","Vampirolepis mesopotamiana","Vampirolepis",1989,1,"not the first"
"22695","Vampirolepis molani","Vampirolepis",NA,0,"not the first"
"22697","Vampirolepis pipistrelli","Vampirolepis",NA,1,"not the first"
"22768","Oochoristica truncata","Oochoristica",1879,3,"not the first"
"22815","Chaetophallus setigera","Chaetophallus",1921,0,"exclude"
"22816","Microsomacanthus secundus","Microsomacanthus",1989,0,"not the first"
"22817","Microsomacanthus shetlandicus","Microsomacanthus",1981,0,"not the first"
"22818","Nototaenia fileri","Nototaenia",1967,0,"exclude"
"22827","Reticulotaenia australis","Reticulotaenia",1967,0,"exclude"
"22828","Rissotaenia dominicana","Rissotaenia",NA,1,"exclude"
"22830","Tetrabothrius joubini","Tetrabothrius",1912,0,"not the first"
"22831","Tetrabothrius kowalewskii","Tetrabothrius",1925,1,"not the first"
"22832","Tetrabothrius pauliani","Tetrabothrius",1954,1,"not the first"
"22866","Hymenolepis hemignathi","Hymenolepis",1897,0,"not the first"
"22889","Tetrabothrius antarcticus","Tetrabothrius",1921,1,"not the first"
"22977","Cylindrotaenia decidua","Cylindrotaenia",1985,4,"not the first"
"22983","Hymenolepis asymmetrica","Hymenolepis",1918,4,"not the first"
"22988","Hymenolepis hassalii","Hymenolepis",1924,0,"not the first"
"22989","Hymenolepis magniovata","Hymenolepis",1918,0,"not the first"
"22992","Oochoristica javaensis","Oochoristica",1982,4,"not the first"
"23031","Alcataenia larina","Alcataenia",1869,1,"not the first"
"23044","Anomotaenia antarctica","Anomotaenia",1921,1,"not the first"
"23046","Choanotaenia chionis","Choanotaenia",1921,0,"not the first"
"23060","Andrya rauschi","Andrya",1990,1,"not the first"
"23072","Inermicapsifer beveridgei","Inermicapsifer",1988,1,"not the first"
"23075","Mesocestoides caestus","Mesocestoides",1925,1,"not the first"
"23109","Nematotaenia chantalae","Nematotaenia",1957,1,"not the first"
"23142","Caryophyllaeus tuba","Caryophyllaeus",NA,0,"not the first"
"23156","Corallobothrium parafimbriatum","Corallobothrium",1973,1,"not the first"
"23167","Dibothrium sulcatum","Dibothrium",NA,0,"not the first"
"23170","Dimorphocanthus furcifera","Dimorphocanthus",1869,4,"first"
"23184","Houttuynia struthionis","Houttuynia",1772,1,"exclude"
"23186","Hymenolepis creplini","Hymenolepis",1869,0,"not the first"
"23190","Hymenolepis multistriata","Hymenolepis",1810,1,"not the first"
"23204","Mesocestoides alaudae","Mesocestoides",1896,1,"not the first"
"23217","Nematotaenia minor","Nematotaenia",1988,2,"not the first"
"23227","Paruterina parallelepipeda","Paruterina",1810,1,"not the first"
"23228","Proteocephalus agonis","Proteocephalus",1909,0,"not the first"
"23235","Raillietina demerariensis","Raillietina",NA,4,"not the first"
"23237","Raillietina longicollis","Raillietina",1858,0,"not the first"
"23242","Skrjabinia circumvallata","Skrjabinia",1869,0,"not the first"
"23243","Solenophorus obovatus","Solenophorus",NA,1,"exclude"
"23244","Sparganum ellipticum","Sparganum",NA,1,"not the first"
"23248","Taenia angulata","Taenia",1810,2,"not the first"
"23252","Taenia circumvallata","Taenia",1869,0,"not the first"
"23253","Taenia conica","Taenia",NA,0,"not the first"
"23256","Taenia cucumerina","Taenia",NA,1,"not the first"
"23257","Taenia emberizarum","Taenia",NA,1,"not the first"
"23258","Taenia farciminalis","Taenia",NA,1,"not the first"
"23262","Taenia longirostris","Taenia",1819,1,"not the first"
"23264","Taenia multiformis","Taenia",NA,1,"not the first"
"23265","Taenia ovata","Taenia",1858,1,"not the first"
"23270","Taenia parina","Taenia",1845,1,"not the first"
"23279","Taenia tauricollis","Taenia",1876,1,"not the first"
"23281","Taenia umbonata","Taenia",NA,1,"not the first"
"23282","Taenia undulata","Taenia",NA,1,"not the first"
"23287","Tetrabothrius porrigens","Tetrabothrius",1858,0,"not the first"
"23295","Anomotaenia hypoleuci","Anomotaenia",NA,1,"not the first"
"23298","Anonchotaenia longiovata","Anonchotaenia",1901,0,"not the first"
"23299","Anonchotaenia malaconoti","Anonchotaenia",1991,1,"not the first"
"23300","Anonchotaenia prionopos","Anonchotaenia",1991,0,"not the first"
"23302","Biuterina africana","Biuterina",NA,0,"not the first"
"23303","Biuterina macrancistrota","Biuterina",1908,2,"not the first"
"23304","Bonaia africana","Bonaia",1990,1,"exclude"
"23305","Echinocotyle dolosa","Echinocotyle",NA,6,"not the first"
"23308","Hymenolepis pamelae","Hymenolepis",1989,1,"not the first"
"23309","Hymenolepis pearsei","Hymenolepis",1930,3,"not the first"
"23312","Hymenolepis petteri","Hymenolepis",1964,1,"not the first"
"23318","Idiogenes flagellum","Idiogenes",1782,2,"first"
"23319","Inermicapsifer madagascariensis","Inermicapsifer",1869,6,"first"
"23322","Neogryporhynchus lasiopeius","Neogryporhynchus",1960,1,"not the first"
"23326","Paronia calcaruterina","Paronia",1939,1,"not the first"
"23331","Pseudadelphoscolex eburnensis","Pseudadelphoscolex",1992,1,"exclude"
"23332","Pseudochoanotaenia eburnea","Pseudochoanotaenia",1988,6,"exclude"
"23344","Raillietina bargetzii","Raillietina",1954,1,"not the first"
"23346","Raillietina reynoldsiae","Raillietina",NA,1,"not the first"
"23347","Raillietina yapoensis","Raillietina",1989,1,"not the first"
"23348","Raillietina macrocirrosa","Raillietina",1909,1,"not the first"
"23349","Raillietina permista","Raillietina",NA,3,"not the first"
"23354","Raillietina campetherae","Raillietina",1989,2,"not the first"
"23356","Skrjabinoporus merops","Skrjabinoporus",1928,3,"exclude"
"23359","Spreotaenia abassenae","Spreotaenia",NA,0,"exclude"
"23360","Staphylepis ambilateralis","Staphylepis",1991,4,"not the first"
"23368","Thaumasiolepis microarmata","Thaumasiolepis",1989,2,"exclude"
"23372","Variolepis fernandensis","Variolepis",NA,1,"not the first"
"23373","Wardium hughesi","Wardium",NA,1,"not the first"
"23374","Yapolepis yapolepis","Yapolepis",1991,1,"exclude"
"23943","Hymenolepis javanensis","Hymenolepis",1945,1,"not the first"
"23952","Vampirolepis kerivoulae","Vampirolepis",1937,4,"not the first"
"23978","Caryophyllaeus kashmirensis","Caryophyllaeus",1930,0,"not the first"
"23991","Aploparaksis birulai","Aploparaksis",1905,2,"not the first"
"24038","Armadoskrjabinia medici","Armadoskrjabinia",1890,1,"not the first"
"24040","Avocettolepis vaginata","Avocettolepis",1914,0,"exclude"
"24050","Catenotaenia rhombomidis","Catenotaenia",1935,1,"not the first"
"24051","Cladogynia phoeniconaiadis","Cladogynia",1934,1,"not the first"
"24103","Dicranotaenia tenuirostris","Dicranotaenia",1819,3,"not the first"
"24114","Dimorphocanthus podicipina","Dimorphocanthus",1905,4,"not the first"
"24163","Diorchis endacantha","Diorchis",1953,6,"not the first"
"24331","Drepanidotaenia przewalskii","Drepanidotaenia",1914,2,"not the first"
"24337","Dubininolepis rostellata","Dubininolepis",1790,1,"first"
"24338","Echinatrium skrjabini","Echinatrium",1965,3,"not the first"
"24441","Echinocotyle uralensis","Echinocotyle",1902,10,"not the first"
"24459","Fimbriaria amurensis","Fimbriaria",1960,6,"not the first"
"24520","Fimbriarioides tadornae","Fimbriarioides",1976,1,"not the first"
"24521","Flamingolepis dolguschini","Flamingolepis",1968,2,"not the first"
"24525","Flamingolepis megalorchis","Flamingolepis",1898,1,"not the first"
"24526","Flamingolepis tengizi","Flamingolepis",1968,1,"not the first"
"24544","Gastrotaenia paracygni","Gastrotaenia",1966,1,"not the first"
"24546","Glareolepis porale","Glareolepis",1927,1,"exclude"
"24547","Gvosdevilepis fragmentata","Gvosdevilepis",1948,1,"exclude"
"24561","Hilmylepis sharpiloi","Hilmylepis",1990,1,"not the first"
"24562","Hydatigera krepkogorski","Hydatigera",1934,3,"not the first"
"24565","Hymenolepis ognewi","Hymenolepis",1924,1,"not the first"
"24566","Joyeuxiella rossicum","Joyeuxiella",1928,5,"not the first"
"24593","Microsomacanthus baeri","Microsomacanthus",1977,14,"not the first"
"24719","Monosaccanthes kazachstanica","Monosaccanthes",1963,2,"not the first"
"24721","Monotestilepis tadornae","Monotestilepis",1971,5,"exclude"
"24726","Nadejdolepis lauriei","Nadejdolepis",1939,2,"not the first"
"24727","Nematoparataenia skrjabini","Nematoparataenia",1959,1,"not the first"
"24731","Parabiglandatrium liguloides","Parabiglandatrium",1847,2,"exclude"
"24742","Pseudhymenolepis nepalensis","Pseudhymenolepis",1991,2,"not the first"
"24743","Pseudhymenolepis turkestanica","Pseudhymenolepis",1991,1,"not the first"
"24744","Raillietina circumvallata","Raillietina",1953,2,"not the first"
"24745","Raillietina gvosdevi","Raillietina",1968,1,"not the first"
"24750","Retinometra guberiana","Retinometra",1965,1,"not the first"
"24787","Retinometra oxyurae","Retinometra",1966,1,"not the first"
"24789","Retinometra skrjabini","Retinometra",1945,4,"not the first"
"24798","Rodentotaenia bondarevae","Rodentotaenia",1978,3,"not the first"
"24802","Rodentotaenia merionidis","Rodentotaenia",1978,1,"not the first"
"24809","Skrjabinia progenesia","Skrjabinia",1968,1,"not the first"
"24810","Skrjabinoparaksis tatianae","Skrjabinoparaksis",1949,1,"exclude"
"24906","Staphylocystis brusatae","Staphylocystis",1971,2,"not the first"
"24907","Staphylocystis diplomesodoni","Staphylocystis",1993,1,"not the first"
"24909","Staphylocystis putoraki","Staphylocystis",1993,1,"not the first"
"24910","Staphylocystis sosninae","Staphylocystis",1994,2,"not the first"
"24916","Taenia djeirani","Taenia",1964,3,"not the first"
"24959","Wardium clandestina","Wardium",1869,1,"not the first"
"24968","Wardium gvozdevi","Wardium",1988,1,"not the first"
"24974","Wardium stellorae","Wardium",1960,1,"not the first"
"24976","Wardium tsengi","Wardium",1940,3,"not the first"
"25026","Anomotaenia arkita","Anomotaenia",1960,1,"not the first"
"25030","Catenotaenia kirgizica","Catenotaenia",1960,2,"not the first"
"25034","Dicranotaenia pseudocoronula","Dicranotaenia",1945,0,"not the first"
"25044","Liga porzanae","Liga",1976,1,"not the first"
"25045","Mathevotaenia dissymmetrica","Mathevotaenia",1966,1,"not the first"
"25051","Multiuterina skrjabini","Multiuterina",1948,1,"exclude"
"25052","Paranoplocephala caucasica","Paranoplocephala",1938,1,"not the first"
"25058","Paruterina kirghizica","Paruterina",1950,1,"not the first"
"25059","Paruterina skrjabini","Paruterina",1950,1,"not the first"
"25060","Pentocoronaria rusannae","Pentocoronaria",1966,1,"exclude"
"25061","Raillietina erschovi","Raillietina",1965,1,"not the first"
"25062","Raillietina kirghizica","Raillietina",1965,1,"not the first"
"25065","Rallitaenia porzanae","Rallitaenia",1976,1,"not the first"
"25066","Rodentolepis merionis","Rodentolepis",1966,2,"not the first"
"25107","Andrya montana","Andrya",1941,1,"not the first"
"25116","Aprostatandrya microti","Aprostatandrya",1947,1,"not the first"
"25118","Armadolepis myoxi","Armadolepis",1819,1,"exclude"
"25123","Avitellina pygargi","Avitellina",1902,0,"not the first"
"25131","Ctenotaenia citelli","Ctenotaenia",1938,0,"not the first"
"25132","Cucurbilepis skrjabini","Cucurbilepis",1965,3,"exclude"
"25177","Diphyllobothrium minus","Diphyllobothrium",1916,3,"not the first"
"25213","Mathevolepis larvi","Mathevolepis",1982,2,"exclude"
"25230","Moniezia alba","Moniezia",1879,1,"not the first"
"25231","Moniezia autumnalis","Moniezia",1967,1,"not the first"
"25241","Neoskrjabinolepis diaphana","Neoskrjabinolepis",1906,4,"first"
"25291","Sinuterilepis diglobovari","Sinuterilepis",1965,3,"first"
"25294","Soricinia bargusinica","Soricinia",1975,2,"not the first"
"25296","Soricinia cirravaginata","Soricinia",1975,2,"not the first"
"25303","Staphylocystis sibirica","Staphylocystis",1957,2,"not the first"
"25337","Thysaniezia ovilla","Thysaniezia",1878,1,"first"
"25591","Diphyllobothrium norvegicum","Diphyllobothrium",1957,3,"not the first"
"25636","Proteocephalus esocis","Proteocephalus",1905,1,"not the first"
"25666","Sobolevicanthus mastigopraeditus","Sobolevicanthus",1942,1,"not the first"
"25686","Valipora unilateralis","Valipora",1819,1,"first"
"25695","Paratriotaenia oedipomidatis","Paratriotaenia",1965,0,"exclude"
"25696","Proteocephalus agkistrodontis","Proteocephalus",1935,1,"not the first"
"25699","Proteocephalus marenzelleri","Proteocephalus",1898,1,"not the first"
"25701","Proteocephalus variabilis","Proteocephalus",1978,3,"not the first"
"25704","Vampirolepis roudabushi","Vampirolepis",1946,2,"not the first"
"25712","Inermicapsifer arvicanthidis","Inermicapsifer",NA,1,"not the first"
"25713","Bertiella elongata","Bertiella",1905,1,"not the first"
"25718","Hymenolepis malaccensis","Hymenolepis",1966,1,"not the first"
"25787","Anomaloporus lambi","Anomaloporus",1953,1,"exclude"
"25788","Anonchotaenia lambi","Anonchotaenia",1953,1,"not the first"
"25790","Anoplocephaloides romerolagi","Anoplocephaloides",1979,1,"not the first"
"25850","Bothriocephalus pearsei","Bothriocephalus",NA,1,"not the first"
"25852","Catenotaenia peromysci","Catenotaenia",1954,1,"not the first"
"25853","Choanoscolex lamothei","Choanoscolex",1990,3,"not the first"
"25867","Cyclustera ralli","Cyclustera",1986,2,"not the first"
"25878","Dendrouterina botauri","Dendrouterina",1948,2,"not the first"
"25879","Dendrouterina herodiae","Dendrouterina",1912,1,"not the first"
"25880","Dendrouterina papillifera","Dendrouterina",1908,5,"not the first"
"25896","Glossocercus aurita","Glossocercus",1819,6,"first"
"25905","Hymenolepis chiapaensis","Hymenolepis",1957,1,"not the first"
"25906","Hymenolepis collariella","Hymenolepis",1956,1,"not the first"
"25911","Leporidotaenia romerolagi","Leporidotaenia",1979,1,"not the first"
"25928","Megathylacoides lamothei","Megathylacoides",1990,1,"not the first"
"25929","Monticellia ophisterni","Monticellia",2001,1,"not the first"
"25931","Oochoristica acapulcoensis","Oochoristica",1999,1,"not the first"
"25934","Oochoristica parvula","Oochoristica",1938,2,"not the first"
"25942","Ophiotaenia filaroides","Ophiotaenia",1909,1,"not the first"
"25945","Ophiotaenia magna","Ophiotaenia",1925,0,"not the first"
"25955","Paratetrabothrius orientalis","Paratetrabothrius",1940,1,"exclude"
"25956","Parvitaenia cochlearii","Parvitaenia",1955,5,"not the first"
"25962","Parvitaenia macropeos","Parvitaenia",1855,1,"first"
"25963","Proteocephalus brooksi","Proteocephalus",1996,1,"not the first"
"25971","Raillietina baeri","Raillietina",1927,2,"not the first"
"25972","Schistotaenia macrocirrus","Schistotaenia",1948,1,"not the first"
"25989","Tetrabothrius sulae","Tetrabothrius",1929,1,"not the first"
"25990","Thaumasioscolex didelphidis","Thaumasioscolex",2001,1,"exclude"
"25996","Valipora minuta","Valipora",1950,2,"not the first"
"26005","Vampirolepis elongatus","Vampirolepis",1962,4,"not the first"
"26190","Paranoplocephala nevoi","Paranoplocephala",1990,1,"not the first"
"26264","Anoplocephaloides infrequens","Anoplocephaloides",NA,1,"not the first"
"26265","Anoplocephaloides variabilis","Anoplocephaloides",NA,1,"not the first"
"26273","Ophiotaenia grandis","Ophiotaenia",1911,1,"not the first"
"26275","Ophiotaenia cryptobranchi","Ophiotaenia",1915,0,"not the first"
"26357","Taenia gigantea","Taenia",1856,0,"not the first"
"26361","Anomotaenia skrjabini","Anomotaenia",NA,1,"not the first"
"26364","Chitonorecta agnosta","Chitonorecta",1927,1,"exclude"
"26365","Cotugnia crassa","Cotugnia",1909,0,"not the first"
"26367","Dilepis trichocephalus","Dilepis",1905,0,"not the first"
"26368","Dipylidium zschokkei","Dipylidium",1910,1,"not the first"
"26369","Gyrocoelia perversa","Gyrocoelia",1899,4,"first"
"26370","Helicoductus thulakoceras","Helicoductus",2001,1,"exclude"
"26372","Megalacanthus southwelli","Megalacanthus",1932,1,"exclude"
"26375","Octopetalum longicirrosa","Octopetalum",1819,0,"exclude"
"26379","Oochoristica ubelakeri","Oochoristica",1994,2,"not the first"
"26383","Raillietina tetragonoides","Raillietina",1925,0,"not the first"
"26384","Wardium longosacco","Wardium",1939,1,"not the first"
"26400","Hymenolepis asketus","Hymenolepis",1977,1,"not the first"
"26404","Taenia confusa","Taenia",1896,1,"not the first"
"26406","Ditestolepis macrostrobila","Ditestolepis",1995,1,"not the first"
"26408","Hymenolepis kaiseris","Hymenolepis",1943,0,"not the first"
"26409","Hymenolepis krishna","Hymenolepis",1943,0,"not the first"
"26411","Lineolepis brevis","Lineolepis",1995,1,"not the first"
"26412","Lineolepis serrata","Lineolepis",1995,1,"not the first"
"26413","Lineolepis soriculi","Lineolepis",1995,0,"not the first"
"26416","Staphylocystis kunisakii","Staphylocystis",1995,1,"not the first"
"26418","Staphylocystis trisuliensis","Staphylocystis",1993,1,"not the first"
"26419","Vampirolepis magniovifera","Vampirolepis",1995,1,"not the first"
"26420","Vampirolepis nepalensis","Vampirolepis",1995,1,"not the first"
"26422","Choanotaenia unicoronata","Choanotaenia",1908,2,"not the first"
"26444","Davainea retractilis","Davainea",1895,0,"not the first"
"26511","Hymenolepis hamalcanthos","Hymenolepis",1927,0,"not the first"
"26515","Oncomegas wageneri","Oncomegas",1890,0,"first"
"26543","Raillietina salmoni","Raillietina",1895,2,"not the first"
"26545","Raillietina selfi","Raillietina",1975,2,"not the first"
"26606","Amurotaenia decidua","Amurotaenia",1977,1,"not the first"
"26609","Capsulata edensis","Capsulata",1959,1,"exclude"
"26612","Dicranotaenia clandestina","Dicranotaenia",1869,1,"not the first"
"26615","Dildotaenia latovarium","Dildotaenia",1988,3,"exclude"
"26622","Hymenolepis chalinobi","Hymenolepis",1974,0,"not the first"
"26628","Hymenolepis microstoma","Hymenolepis",1845,1,"not the first"
"26634","Proterogynotaenia dougi","Proterogynotaenia",1959,1,"not the first"
"26648","Vampirolepis chalinolobi","Vampirolepis",1974,1,"not the first"
"26654","Acanthobothrium intermedium","Acanthobothrium",1931,1,"not the first"
"26655","Acanthobothrium musculosum","Acanthobothrium",1948,1,"not the first"
"26656","Acanthobothrium wedli","Acanthobothrium",1959,0,"not the first"
"26661","Gymnorhynchus horridus","Gymnorhynchus",1841,1,"not the first"
"26696","Cylindrotaenia jaegerskioeldi","Cylindrotaenia",1926,0,"not the first"
"26700","Hymenolepis bakanoui","Hymenolepis",1972,3,"not the first"
"26703","Hymenolepis bellieri","Hymenolepis",1972,1,"not the first"
"26714","Hymenolepis gilloni","Hymenolepis",1972,3,"not the first"
"26717","Hymenolepis kerivoulae","Hymenolepis",1937,3,"not the first"
"26720","Hymenolepis lamtoensis","Hymenolepis",1972,0,"not the first"
"26721","Hymenolepis maclaudi","Hymenolepis",1928,3,"not the first"
"26725","Hymenolepis mopoyeni","Hymenolepis",1972,3,"not the first"
"26729","Hymenolepis nagatyi","Hymenolepis",1936,2,"not the first"
"26733","Hymenolepis pseudofurcata","Hymenolepis",1971,2,"not the first"
"26736","Hymenolepis scalaris","Hymenolepis",1845,2,"not the first"
"26737","Hymenolepis steatomidis","Hymenolepis",1972,3,"not the first"
"26741","Hymenolepis vaucheri","Hymenolepis",1972,3,"not the first"
"26753","Multiceps glomeratus","Multiceps",1915,2,"not the first"
"26755","Nesolecithus africanus","Nesolecithus",1966,1,"not the first"
"26759","Oochoristica symmetrica","Oochoristica",1927,0,"not the first"
"26765","Raillietina raillietina","Raillietina",NA,3,"not the first"
"26771","Taenia muris","Taenia",NA,0,"not the first"
"26776","Wenyonia kainjii","Wenyonia",1972,1,"not the first"
"26777","Wenyonia mcconnelli","Wenyonia",1972,1,"not the first"
"26778","Wenyonia synodontis","Wenyonia",1972,3,"not the first"
"26783","Wenyonia youdeoweii","Wenyonia",1972,0,"not the first"
"26788","Diplopylidium triseriale","Diplopylidium",1898,1,"not the first"
"26790","Dipylidium monophorum","Dipylidium",1898,1,"not the first"
"26804","Raillietina trapezoides","Raillietina",1904,1,"not the first"
"27785","Amphoteromorphus praeputialis","Amphoteromorphus",1974,1,"not the first"
"27787","Anindobothrium guariticus","Anindobothrium",2001,1,"not the first"
"27793","Apokrimi pseudoscolecis","Apokrimi",1994,0,"exclude"
"27794","Bertiella forcipata","Bertiella",1904,1,"not the first"
"27815","Crepidobothrium dollfusi","Crepidobothrium",1965,1,"not the first"
"27834","Dilepis pifanoi","Dilepis",1958,1,"not the first"
"27907","Hymenolepis phyllostomi","Hymenolepis",1982,1,"not the first"
"27935","Monoliga amazonica","Monoliga",1994,1,"exclude"
"28002","Orthoskrjabinia ginesi","Orthoskrjabinia",1956,1,"not the first"
"28078","Raillietina oligocapsulata","Raillietina",1988,1,"not the first"
"28167","Urutaulepis pifanoi","Urutaulepis",1958,1,"exclude"
"28181","Vampirolepis mazanensis","Vampirolepis",1986,1,"not the first"
"28183","Vampirolepis phyllostomi","Vampirolepis",1982,1,"not the first"
"28290","Hymenolepis microps","Hymenolepis",1850,1,"not the first"
"28297","Paroniella urogalli","Paroniella",1790,1,"exclude"
"28329","Triaenophorus robustus","Triaenophorus",1893,3,"not the first"
"28609","Ophiotaenia gracilis","Ophiotaenia",NA,0,"not the first"
"28613","Dicranotaenia parvisaccata","Dicranotaenia",1943,1,"not the first"
"28614","Hymenolepis filumferens","Hymenolepis",1942,1,"not the first"
"28615","Hymenolepis mastigopraedita","Hymenolepis",1942,1,"not the first"
"28616","Hymenolepis parvisaccata","Hymenolepis",1943,1,"not the first"
"28617","Hymenolepis scalopi","Hymenolepis",1939,1,"not the first"
"28618","Mosgovoyia pectinata","Mosgovoyia",1896,6,"first"
"28619","Taenia laruei","Taenia",1940,1,"not the first"
"28761","Hymenolepis neurotrichi","Hymenolepis",1962,1,"not the first"
"28764","Hymenolepis pauciproglottis","Hymenolepis",1953,1,"not the first"
"28765","Hymenolepis sengeri","Hymenolepis",1953,1,"not the first"
"28766","Hymenolepis tualatinensis","Hymenolepis",1985,1,"not the first"
"28767","Paranoplocephala maseri","Paranoplocephala",1999,1,"not the first"
"28775","Taenia pencei","Taenia",2003,2,"not the first"
"28800","Amphilina tengaria","Amphilina",NA,1,"not the first"
"28803","Angularella minutiuncinata","Angularella",1938,1,"not the first"
"28842","Bertiella rauschi","Bertiella",1989,1,"not the first"
"28843","Bertiella satyri","Bertiella",NA,1,"not the first"
"28863","Biuterina collurionis","Biuterina",1950,2,"not the first"
"28864","Bothridium najae","Bothridium",1981,1,"not the first"
"28880","Bothriocephalus travassosi","Bothriocephalus",1938,1,"not the first"
"28900","Capiuterulepis naja","Capiuterulepis",1845,1,"exclude"
"28906","Choanotaenia chrysocolaptes","Choanotaenia",1944,0,"not the first"
"28912","Choanotaenia parina","Choanotaenia",1845,1,"not the first"
"28918","Circumonchobothrium baimaii","Circumonchobothrium",1999,1,"not the first"
"28928","Cleberia pondicerianii","Cleberia",1995,1,"not the first"
"28942","Cotugnia meggitti","Cotugnia",1935,4,"not the first"
"28947","Cotugnia srivastavai","Cotugnia",NA,1,"not the first"
"28966","Dendrouterina egrettae","Dendrouterina",1967,1,"not the first"
"28968","Dilepis ardeolae","Dilepis",1945,1,"not the first"
"28972","Diorchis formosensis","Diorchis",1934,1,"not the first"
"29022","Duthiersia sindensis","Duthiersia",1973,0,"not the first"
"29023","Echidnotaenia francolinii","Echidnotaenia",1995,1,"exclude"
"29066","Gangesia lucknowensis","Gangesia",NA,1,"not the first"
"29076","Gangesia sindensis","Gangesia",NA,1,"not the first"
"29107","Hymenolepis andrejewoi","Hymenolepis",1945,0,"not the first"
"29111","Hymenolepis calva","Hymenolepis",1978,1,"not the first"
"29115","Hymenolepis clerci","Hymenolepis",1933,6,"not the first"
"29147","Hymenolepis ellisoni","Hymenolepis",1944,1,"not the first"
"29152","Hymenolepis francolini","Hymenolepis",1935,1,"not the first"
"29154","Hymenolepis furcouterina","Hymenolepis",1945,1,"not the first"
"29156","Hymenolepis gracilis","Hymenolepis",1803,1,"not the first"
"29162","Hymenolepis jamunicus","Hymenolepis",1943,1,"not the first"
"29165","Hymenolepis joyeuxi","Hymenolepis",1932,1,"not the first"
"29167","Hymenolepis karachiensis","Hymenolepis",2002,1,"not the first"
"29185","Hymenolepis minutissima","Hymenolepis",1927,0,"not the first"
"29214","Hymenolepis rugosa","Hymenolepis",1924,1,"not the first"
"29217","Hymenolepis septaria","Hymenolepis",1906,0,"not the first"
"29218","Hymenolepis septemsororum","Hymenolepis",1944,0,"not the first"
"29219","Hymenolepis shentsengi","Hymenolepis",1940,0,"not the first"
"29223","Hymenolepis tateri","Hymenolepis",2003,1,"not the first"
"29224","Hymenolepis tonkinensis","Hymenolepis",1935,1,"not the first"
"29229","Hymenolepis zosteropis","Hymenolepis",1918,1,"not the first"
"29249","Krimi chrysocolaptes","Krimi",1944,0,"first"
"29267","Liga chrysocolaptes","Liga",1944,0,"not the first"
"29282","Lucknowia fossilisai","Lucknowia",NA,1,"not the first"
"29425","Neoraillietina psittaculi","Neoraillietina",2002,1,"exclude"
"29445","Oochoristica sindensis","Oochoristica",1983,1,"not the first"
"29448","Ophiotaenia indica","Ophiotaenia",1955,1,"not the first"
"29449","Ophiotaenia russelli","Ophiotaenia",1913,0,"not the first"
"29454","Panuwa lobivanelli","Panuwa",1940,0,"first"
"29460","Paranoplocephala indica","Paranoplocephala",1966,0,"not the first"
"29464","Paronia bocki","Paronia",1941,2,"not the first"
