"Parasite.species","Parasite.genus","Parasite.group","Host.species","Host.no","Stage","Egg.hatch","Development.time","Temp","Development.remarks","Length","Width","Max.length","Max.width","n","Size.reported.as","Shape","Asexual","Sex","Size.remarks","Author","Year","Journal","Volume","Pages"
"Avioserpens mosgovoyi","Avioserpens","nematode","Cyclops spp.",1,"1larv",NA,9.5,27.5,"cites Supryaga",0.4335,0.0205,0.478,0.022,NA,"range","thread-like",NA,NA,NA,"Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avioserpens mosgovoyi","Avioserpens","nematode","Cyclops spp.",1,"1larv",NA,22.5,22.5,"cites Supryaga; do not develop at 15 C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avioserpens mosgovoyi","Avioserpens","nematode","Cyclops strenuus",1,"1larv",NA,NA,NA,NA,0.429,0.024,NA,NA,NA,"point","thread-like",NA,NA,"were not 100% sure that this was not a different Avioserpens sp.","Moravec and Scholz","1990","Folia Parasitol.","37","93-94"
"Avioserpens mosgovoyi","Avioserpens","nematode",NA,2,"2larv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stated that larvae grew slightly but did not molt","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avioserpens mosgovoyi","Avioserpens","nematode",NA,3,"adult",NA,NA,NA,NA,10.4,0.172,14,0.209,NA,"range","thread-like",NA,"m","cites Supryaga 1965","Gibson","1973","Can. J. Zool.","51","847-851"
"Avioserpens mosgovoyi","Avioserpens","nematode",NA,3,"adult",NA,NA,NA,NA,1005,0.9,1130,1,NA,"range","thread-like",NA,"f",NA,"Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avioserpens mosgovoyi","Avioserpens","nematode",NA,3,"adult",NA,28,40.5,"from 4th week, liberate larvae, then die after 13 days",NA,NA,NA,NA,NA,NA,NA,NA,"f","just CAB abstract","Supryaga","1971","Izdatel'stvo KOLOS",NA,"374-383"
"Avioserpens mosgovoyi","Avioserpens","nematode",NA,3,"adult",NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m","just CAB abstract","Supryaga","1971","Izdatel'stvo KOLOS",NA,"374-383"
"Avioserpens taiwana","Avioserpens","nematode",NA,0,"egg","hatch, eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avioserpens taiwana","Avioserpens","nematode",NA,0,"free larva",NA,NA,NA,"free L1",0.465,0.021,0.51,NA,NA,"range","thread-like",NA,NA,"cites Sugimoto 1934","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avioserpens taiwana","Avioserpens","nematode",NA,0,"free larva",NA,NA,NA,"free L1",0.425,0.01515,0.45,0.016,NA,"range","thread-like",NA,NA,"cites Wehr and Chitwood 1934","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avioserpens taiwana","Avioserpens","nematode",NA,1,"1larv",NA,7,NA,"cites Wang et al. 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Avioserpens taiwana","Avioserpens","nematode",NA,2,"adult",NA,NA,NA,NA,170,0.8,240,NA,NA,"range","thread-like",NA,"f","cites Sugimoto 1934","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avioserpens taiwana","Avioserpens","nematode",NA,2,"adult",NA,NA,NA,NA,NA,0.75,NA,NA,NA,"point","thread-like",NA,"f","cites Wehr and Chitwood 1934","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Avitellina arctica","Avitellina","cestode",NA,0,"egg","eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avitellina arctica","Avitellina","cestode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avitellina arctica","Avitellina","cestode",NA,1,"1larv",NA,70,20.5,NA,0.1075,NA,0.14,NA,NA,"range","sphere",NA,NA,NA,"Kozlov","1986","Parazitologiya","20","73-74"
"Avitellina arctica","Avitellina","cestode",NA,2,"adult",NA,NA,NA,NA,2700,2,NA,3,2,"point","ribbon",NA,NA,NA,"Gibbs","1960","J. Parasitol.","46","624-628"
"Avitellina centripunctata","Avitellina","cestode",NA,0,"egg","eaten",NA,NA,NA,0.04,0.04,NA,NA,NA,"point","sphere",NA,NA,NA,"Gough","1911","Q. J. Microsc. Sci.","56","317-383"
"Avitellina centripunctata","Avitellina","cestode",NA,0,"embryo",NA,NA,NA,NA,0.019,0.019,NA,NA,NA,"point","sphere",NA,NA,NA,"Gough","1911","Q. J. Microsc. Sci.","56","317-383"
"Avitellina centripunctata","Avitellina","cestode",NA,1,"1larv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avitellina centripunctata","Avitellina","cestode","Ovis aries",2,"adult",NA,NA,NA,NA,2435,2,2850,3,NA,"range","ribbon",NA,NA,NA,"Gough","1911","Q. J. Microsc. Sci.","56","317-383"
"Avitellina centripunctata","Avitellina","cestode",NA,2,"adult",NA,NA,NA,NA,1750,2.5,2500,4,NA,"range","ribbon",NA,NA,NA,"Joyeux and Baer","1936","Faune de France, Cestodes",NA,NA
"Avitellina lahorea","Avitellina","cestode",NA,0,"egg","eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avitellina lahorea","Avitellina","cestode",NA,0,"embryo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avitellina lahorea","Avitellina","cestode",NA,1,"1larv",NA,39,25.5,"day cysticercoids first encountered varied from experiment to experiment, this is an average from 3 reported values",0.1889,0.1522,NA,NA,NA,"avg","sphere",NA,NA,NA,"Narsapur","1974","Ind. Vet. J.","51","54-56"
"Avitellina lahorea","Avitellina","cestode","Capra aegagrus",2,"adult",NA,NA,NA,NA,1829,1.38,NA,NA,1,"point","ribbon",NA,NA,"largest recovered piece was 6 ft (1829 mm), but this is an underestimate of full size","Bhalerao","1936","J. Helminthol.","14","141-162"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",7,23.5,"time to embryonate",0.056,0.0235,0.062,0.027,NA,"range","ellipsoid",NA,NA,NA,"Graybill","1924","J. Parasitol.","10","205-207"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",6,24.5,"time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graybill","1924","J. Parasitol.","10","205-207"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.054,0.028,0.058,0.028,NA,"avg","ellipsoid",NA,NA,"from parrots","Kajerova and Barus","2005","Acta Vet. Brno","74","571-574"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.05,0.03,0.053,0.033,NA,"range","ellipsoid",NA,NA,"from pigeons","Kajerova and Barus","2005","Acta Vet. Brno","74","571-574"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0435,0.0235,0.045,0.025,NA,"range","ellipsoid",NA,NA,"as C. columbae","Mettrick","1959","Ann. Mag. Nat. Hist.","2","65-84"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.049,0.026,0.05,0.028,NA,"range","ellipsoid",NA,NA,"as C. obsignata","Mettrick","1959","Ann. Mag. Nat. Hist.","2","65-84"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.053,0.027,0.059,0.031,NA,"avg","ellipsoid",NA,NA,"from chickens","Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.05,0.028,0.054,0.033,NA,"avg","ellipsoid",NA,NA,"from mute swan","Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.046,0.026,0.05,0.029,NA,"avg","ellipsoid",NA,NA,"from black swan","Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0465,0.0245,0.051,0.027,NA,"range","ellipsoid",NA,NA,"from black swan; cites Wakelin 1963","Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",11,21,"judged by fig. 2, where 50% were embryonated in various media; usually around 11 or 12 days",0.0523,0.0364,NA,NA,NA,"avg","ellipsoid",NA,NA,NA,"Tiersch et al.","2013","Parasitol. Res.","112","357-364"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",13,20,"time to embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as C. obsignata","Wakelin","1965","J. Helminthol.","39","399-412"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",5.708333333,35,"above 37 C, they did not embryonate",NA,NA,NA,NA,NA,NA,NA,NA,NA,"as C. obsignata","Wakelin","1965","J. Helminthol.","39","399-412"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.051,0.026,0.056,0.029,100,"range","ellipsoid",NA,NA,"as Capillaria obsignata","Wakelin","1965","Parasitology","55","285-301"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0525,0.029,0.055,0.031,NA,"range","ellipsoid",NA,NA,"25 eggs measured","Wehr","1939","US Dept. Agric. Tech. Bull.","679","1-19"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",NA,NA,NA,0.0515,0.0245,0.055,0.027,NA,"range","ellipsoid",NA,NA,"cites Morgan 1932","Wehr","1939","US Dept. Agric. Tech. Bull.","679","1-19"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"egg","eaten",7,NA,"room temperature; noted that embryonation was in 6 days in August and 8 days in October",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wehr","1939","US Dept. Agric. Tech. Bull.","679","1-19"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"embryo",NA,NA,NA,"free L1",0.152,NA,0.169,NA,NA,"range","thread-like",NA,NA,"as C. obsignata; size at hatching","Wakelin","1965","J. Helminthol.","39","399-412"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,0,"embryo",NA,NA,NA,"free L1",0.1365,0.009,0.15,0.01,NA,"range","thread-like",NA,NA,"removed by applying pressure to eggs","Wehr","1939","US Dept. Agric. Tech. Bull.","679","1-19"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,11,0.079,12.3,NA,3,"avg","thread-like",NA,"f","as C. columbae","Graybill","1924","J. Parasitol.","10","205-207"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,9.3,0.053,10,NA,2,"avg","thread-like",NA,"m","as C. columbae","Graybill","1924","J. Parasitol.","10","205-207"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,1,"adult",NA,NA,NA,NA,10.25,0.036,12.25,0.045,15,"avg","thread-like",NA,"m",NA,"Kajerova and Barus","2005","Acta Vet. Brno","74","571-574"
"Baruscapillaria obsignata","Baruscapillaria","nematode",NA,1,"adult",NA,NA,NA,NA,NA,0.053,NA,0.06,3,"avg","thread-like",NA,"f",NA,"Kajerova and Barus","2005","Acta Vet. Brno","74","571-574"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,NA,NA,NA,9.07,0.04,11.64,0.042,12,"range","thread-like",NA,"m",NA,"Kajerova and Barus","2005","Acta Vet. Brno","74","571-574"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,NA,NA,NA,13.885,0.0705,18.64,0.079,12,"range","thread-like",NA,"f",NA,"Kajerova and Barus","2005","Acta Vet. Brno","74","571-574"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,NA,NA,NA,7.75,0.024,9.1,NA,NA,"range","thread-like",NA,"m","as C. columbae","Mettrick","1959","Ann. Mag. Nat. Hist.","2","65-84"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,NA,NA,NA,12.85,0.052,15.7,NA,NA,"range","thread-like",NA,"f","as C. columbae","Mettrick","1959","Ann. Mag. Nat. Hist.","2","65-84"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,NA,NA,NA,8.45,0.051,9.1,NA,NA,"range","thread-like",NA,"m","as C. obsignata","Mettrick","1959","Ann. Mag. Nat. Hist.","2","65-84"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,NA,NA,NA,12,0.068,12.9,NA,NA,"range","thread-like",NA,"f","as C. obsignata","Mettrick","1959","Ann. Mag. Nat. Hist.","2","65-84"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,7.67,0.046,10.61,0.056,22,"avg","thread-like",NA,"m",NA,"Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,8.8,0.058,10.56,0.64,7,"avg","thread-like",NA,"f",NA,"Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Cygnus olor",1,"adult",NA,NA,NA,NA,9.28,0.05,10.38,0.058,9,"avg","thread-like",NA,"m",NA,"Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Cygnus olor",1,"adult",NA,NA,NA,NA,11.87,0.07,13.67,0.08,6,"avg","thread-like",NA,"f",NA,"Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Cygnus atratus",1,"adult",NA,NA,NA,NA,7.92,0.045,8.88,0.048,4,"avg","thread-like",NA,"m",NA,"Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Cygnus atratus",1,"adult",NA,NA,NA,NA,9.9,0.061,10.88,0.066,8,"avg","thread-like",NA,"f",NA,"Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Cygnus atratus",1,"adult",NA,NA,NA,NA,13.57,0.0475,14.79,0.049,7,"range","thread-like",NA,"m","cites Wakelin 1963","Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Cygnus atratus",1,"adult",NA,NA,NA,NA,18.7,0.06,20.5,0.064,8,"range","thread-like",NA,"f","cites Wakelin 1963","Tamaru et al.","2015","Parasitol. Res.","114","4011-4022"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,9.86,NA,11.87,NA,21,"range","thread-like",NA,"f","as C. columbae","Todd","1946","Trans. Am. Microsc. Soc.","65","228-236"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,8.065,NA,8.71,NA,5,"range","thread-like",NA,"m","as C. columbae","Todd","1946","Trans. Am. Microsc. Soc.","65","228-236"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,20.5,40.5,"19 days was minimum, but stated that 20-21 dpi was more typical prepatent period",14.12,NA,NA,NA,NA,"avg","thread-like",NA,"f","as C. obsignata; lifetime fecundity also estimated","Wakelin","1965","J. Helminthol.","39","399-412"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,11.03,NA,NA,NA,NA,"avg","thread-like",NA,"m","as C. obsignata","Wakelin","1965","J. Helminthol.","39","399-412"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,9.85,0.0465,12.96,0.051,100,"avg","thread-like",NA,"m","as Capillaria obsignata","Wakelin","1965","Parasitology","55","285-301"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Gallus gallus",1,"adult",NA,NA,NA,NA,13.28,0.058,17.28,0.067,100,"avg","thread-like",NA,"f","as Capillaria obsignata","Wakelin","1965","Parasitology","55","285-301"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,22.5,40.5,"worms are mature at 19 dpe, but no check for eggs in faeces; first found eggs in faeces at next check time, 26 dpe; longest bird was held 7 months and was still infected",14.47,0.084,17.2,0.108,10,"avg","thread-like",NA,"f","from tbl 5","Wehr","1939","US Dept. Agric. Tech. Bull.","679","1-19"
"Baruscapillaria obsignata","Baruscapillaria","nematode","Columba livia",1,"adult",NA,NA,NA,NA,11.51,0.0534,13.8,0.07,10,"avg","thread-like",NA,"m","from tbl 5","Wehr","1939","US Dept. Agric. Tech. Bull.","679","1-19"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,0,"egg","hatch, eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,0,"free larva",NA,NA,NA,"free L1",0.25,0.014,NA,NA,NA,"point","thread-like",NA,NA,"cites Southwell and Kirschner 1937","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,1,"1larv",NA,15,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"as Spirocamallanus xenopodis, cites Thurston 1970","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Batrachocamallanus slomei","Batrachocamallanus","nematode","Xenopus laevis",2,"adult",NA,NA,NA,NA,1.9,0.12,2,0.15,NA,"range","thread-like",NA,"m","cites Southwell and Kirschner 1937","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Batrachocamallanus slomei","Batrachocamallanus","nematode","Xenopus laevis",2,"adult",NA,NA,NA,NA,2.7,0.22,2.9,NA,NA,"range","thread-like",NA,"f","cites Southwell and Kirschner 1937","Ivashkin et al.","1977","Essentials of nematodology, edited by K.I. Skryabin. Volume XXII. Camallanata of animals and man and diseases caused by them.",NA,NA
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.93,0.142,2.08,0.167,2,"avg","thread-like",NA,"f","cotypes museum specimens","Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.81,0.123,2.21,0.136,5,"avg","thread-like",NA,"f",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.54,0.13,1.57,0.157,2,"avg","thread-like",NA,"f",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.67,0.187,2.08,0.235,20,"avg","thread-like",NA,"f",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.32,0.142,1.41,0.15,3,"avg","thread-like",NA,"f",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,2.08,0.212,NA,NA,1,"point","thread-like",NA,"f",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.69,0.161,NA,NA,1,"point","thread-like",NA,"f",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.78,0.117,NA,NA,1,"point","thread-like",NA,"m","cotypes museum specimens","Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.7,0.102,NA,NA,1,"point","thread-like",NA,"m",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.39,0.121,1.92,0.136,5,"avg","thread-like",NA,"m",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.4,0.111,1.42,0.121,2,"avg","thread-like",NA,"m",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Batrachocamallanus slomei","Batrachocamallanus","nematode",NA,2,"adult",NA,NA,NA,NA,1.78,0.121,NA,NA,1,"point","thread-like",NA,"m",NA,"Jackson and Tinsley","1995","Syst. Parasitol.","31","159-188"
"Baylisascaris columnaris","Baylisascaris","nematode",NA,0,"egg","eaten",NA,NA,NA,0.074,0.065,0.088,0.072,NA,"range","ellipsoid",NA,NA,"cites Berry 1985, unpublished thesis","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Baylisascaris columnaris","Baylisascaris","nematode",NA,0,"egg","eaten",NA,NA,NA,0.089,0.067,0.09,0.068,NA,"range","ellipsoid",NA,NA,NA,"Goodey and Cameron","1923","J. Helminthol.","1","1-8"
"Baylisascaris columnaris","Baylisascaris","nematode",NA,0,"embryo",NA,NA,NA,"free L2",0.345,NA,0.38,NA,NA,"range","thread-like",NA,NA,"cites Berry 1985, unpublished thesis","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Baylisascaris columnaris","Baylisascaris","nematode",NA,0,"embryo",NA,NA,NA,"free L2",0.3425,0.02,0.345,NA,NA,"range","thread-like",NA,NA,NA,"Goodey and Cameron","1923","J. Helminthol.","1","1-8"
"Baylisascaris columnaris","Baylisascaris","nematode",NA,0,"embryo",NA,NA,NA,"free L2",0.27,NA,0.31,NA,NA,"fig","thread-like",NA,NA,"removed from eggs","Tiner","1953","J. Infect. Dis.","92","105-113"
"Baylisascaris columnaris","Baylisascaris","nematode","Microtus pennsylvanicus",1,"1larv",NA,NA,NA,NA,1.53,NA,1.74,NA,NA,"range","thread-like",NA,NA,"cites Berry 1985, unpublished thesis","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Baylisascaris columnaris","Baylisascaris","nematode","Mus musculus",1,"1larv",NA,NA,NA,NA,0.96,NA,1.41,NA,NA,"fig","thread-like",NA,NA,"from brain at 18 dpi; growth has not quite plateaued","Tiner","1953","J. Infect. Dis.","92","105-113"
"Baylisascaris columnaris","Baylisascaris","nematode","Peromyscus leucopus",1,"1larv",NA,NA,NA,NA,1.094,NA,1.51,NA,5,"avg","thread-like",NA,NA,"not clear if these 5 measured larvae were representative; taken from gut wall over 40 days pi","Tiner","1953","J. Mammal.","34","153-167"
"Baylisascaris columnaris","Baylisascaris","nematode","Mephitis mephitis",2,"adult",NA,NA,NA,NA,NA,NA,90,2,NA,"point","thread-like",NA,"m",NA,"Goodey and Cameron","1923","J. Helminthol.","1","1-8"
"Baylisascaris columnaris","Baylisascaris","nematode","Mephitis mephitis",2,"adult",NA,NA,NA,NA,NA,NA,225,3,NA,"point","thread-like",NA,"f",NA,"Goodey and Cameron","1923","J. Helminthol.","1","1-8"
"Baylisascaris columnaris","Baylisascaris","nematode","Mephitis mephitis",2,"adult",NA,NA,NA,NA,64,NA,75,NA,19,"avg","thread-like",NA,"m",NA,"Sprent","1952","Proc. Helminthol. Soc. Wash.","19","27-37"
"Baylisascaris columnaris","Baylisascaris","nematode","Mephitis mephitis",2,"adult",NA,NA,NA,NA,120,NA,180,NA,34,"avg","thread-like",NA,"f",NA,"Sprent","1952","Proc. Helminthol. Soc. Wash.","19","27-37"
"Baylisascaris devosi","Baylisascaris","nematode",NA,0,"egg","eaten",12,23.3,"time to infectivity; molt to L2 in egg occurs at about 8 dpi",0.064,0.056,0.077,0.061,NA,"avg","ellipsoid",NA,NA,NA,"Sprent","1953","Parasitology","42","244-258"
"Baylisascaris devosi","Baylisascaris","nematode",NA,0,"embryo",NA,NA,NA,"free L2",0.254,0.014,0.308,0.016,15,"range","thread-like",NA,NA,"removed from eggs","Sprent","1953","Parasitology","42","244-258"
"Baylisascaris devosi","Baylisascaris","nematode","Mus musculus",1,"1larv",NA,10,38.5,"time to L3 molt varied from 5 to 12 days, depending on series of experiments; might require more time to become infective",1.5185,0.055,1.912,0.065,26,"range","thread-like",NA,NA,"from 12 days to 6 months pi","Sprent","1953","Parasitology","42","244-258"
"Baylisascaris devosi","Baylisascaris","nematode","Martes pennanti",2,"adult",NA,NA,NA,NA,185,NA,285,NA,33,"avg","thread-like",NA,"f",NA,"Sprent","1952","Proc. Helminthol. Soc. Wash.","19","27-37"
"Baylisascaris devosi","Baylisascaris","nematode","Martes pennanti",2,"adult",NA,NA,NA,NA,94,NA,123,NA,10,"avg","thread-like",NA,"m",NA,"Sprent","1952","Proc. Helminthol. Soc. Wash.","19","27-37"
"Baylisascaris devosi","Baylisascaris","nematode","Martes americana",2,"adult",NA,NA,NA,NA,133,NA,200,NA,8,"avg","thread-like",NA,"f",NA,"Sprent","1952","Proc. Helminthol. Soc. Wash.","19","27-37"
"Baylisascaris devosi","Baylisascaris","nematode","Martes americana",2,"adult",NA,NA,NA,NA,80,NA,95,NA,3,"avg","thread-like",NA,"m",NA,"Sprent","1952","Proc. Helminthol. Soc. Wash.","19","27-37"
"Baylisascaris devosi","Baylisascaris","nematode","Mustela putorius",2,"adult",NA,NA,NA,NA,115,1.56,120,NA,1,"range","thread-like",NA,"m","6 months pi","Sprent","1953","Parasitology","42","244-258"
"Baylisascaris devosi","Baylisascaris","nematode","Mustela putorius",2,"adult",NA,NA,NA,NA,213,2.255,238,2.55,6,"range","thread-like",NA,"f","6 months pi","Sprent","1953","Parasitology","42","244-258"
"Baylisascaris devosi","Baylisascaris","nematode","Mustela putorius",2,"adult",NA,41,38.5,"time to egg production mentioned for just one infected ferret, so not sure how representative this is; females from this ferret were ~130 mm long",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sprent","1953","Parasitology","42","244-258"
