"","nameparse","yearone","hosts"
"2471","Cleidodiscus malleus",1937,NA
"2472","Cleidodiscus nematocirrus",1982,1
"2473","Cleidodiscus piranhus",1964,2
"2474","Cleidodiscus pricei",1973,5
"2475","Cleidodiscus rarus",1939,NA
"2476","Cleidodiscus robustus",1981,2
"2477","Cleidodiscus serrasalmus",1964,1
"2478","Cleidodiscus similis",1963,NA
"2479","Cleidodiscus sp.",1969,NA
"2480","Cleidodiscus stentor",1937,NA
"2481","Cleidodiscus uniformis",1936,1
"2482","Cleidodiscus vancleavei",1936,2
"2483","Cleidodiscus venardi",1938,NA
"2484","Cleithrarticus bulbovagina",1963,NA
"2485","Clemacotyle australis",1989,1
"2486","Cleptodiscus bulbosus",1949,2
"2487","Cleptodiscus reticularus",1993,NA
"2488","Cleptodiscus reticulatus",1906,3
"2489","Clestobothrium crassiceps",1903,14
"2490","Clinostomoides brieni",1964,6
"2491","Clinostomum album",2015,NA
"2492","Clinostomum attenuatum",1930,13
"2493","Clinostomum attenuatus",1958,NA
"2494","Clinostomum complanatum",1939,206
"2495","Clinostomum gracile",1893,NA
"2496","Clinostomum heterostomum",1890,28
"2497","Clinostomum hylaranae",1961,NA
"2498","Clinostomum intermedialis",1918,3
"2499","Clinostomum marginatum",1893,72
"2500","Clinostomum philippinensis",1950,1
"2501","Clinostomum ranae",1905,NA
"2502","Clinostomum sp.",1894,NA
"2503","Clinostomum tilapiae",1958,7
"2504","Clistobothrium carcharodoni",1982,1
"2505","Clistobothrium montaukensis",1990,1
"2506","Clistobothrium tumidum",1992,1
"2507","Cloacina aedon",1979,2
"2508","Cloacina antigone",1983,4
"2509","Cloacina artemis",1993,3
"2510","Cloacina australis",1989,5
"2511","Cloacina bancroftorum",1989,2
"2512","Cloacina caenis",1982,11
"2513","Cloacina cloelia",1982,8
"2514","Cloacina clymene",1994,1
"2515","Cloacina comani",1978,NA
"2516","Cloacina cretheis",1990,5
"2517","Cloacina cybele",1979,6
"2518","Cloacina dahli",1978,9
"2519","Cloacina digitata",1984,4
"2520","Cloacina dirce",1994,2
"2521","Cloacina dis",1983,20
"2522","Cloacina eileithyia",1994,2
"2523","Cloacina enyo",1975,1
"2524","Cloacina eos",1993,1
"2525","Cloacina epona",1979,2
"2526","Cloacina erigone",1987,1
"2527","Cloacina eurynone",1994,NA
"2528","Cloacina expansa",1990,3
"2529","Cloacina hestica",1992,NA
"2530","Cloacina hyperea",1987,1
"2531","Cloacina io",1992,7
"2532","Cloacina ixion",1976,3
"2533","Cloacina kartana",1989,1
"2534","Cloacina liebigi",1989,2
"2535","Cloacina littoralis",1992,1
"2536","Cloacina metis",1982,1
"2537","Cloacina mundayi",1973,2
"2538","Cloacina nephele",1987,1
"2539","Cloacina nike",1975,5
"2540","Cloacina niobe",1981,1
"2541","Cloacina obtusa",1992,2
"2542","Cloacina papillatissima",1992,1
"2543","Cloacina pearsoni",1982,14
"2544","Cloacina pelops",1977,1
"2545","Cloacina petronius",1983,7
"2546","Cloacina phaedra",1982,2
"2547","Cloacina phaethon",1989,4
"2548","Cloacina polymela",1987,NA
"2549","Cloacina polyxo",1989,2
"2550","Cloacina praxithea",1987,1
"2551","Cloacina robertsi",1993,14
"2552","Cloacina selene",1991,2
"2553","Cloacina similis",1982,16
"2554","Cloacina theope",1999,1
"2555","Cloacina wallabiae",1983,2
"2556","Cloacitrema michiganense",1978,NA
"2557","Cloacitrema michiganensis",1928,6
"2558","Cloacitrema philippinum",1969,NA
"2559","Cloacitrema sp.",1978,NA
"2560","Cloacotaenia megalops",1928,80
"2561","Clonorchis endemicus",1915,NA
"2562","Clonorchis sinensis",1910,184
"2563","Clupenuroides sheemi",1978,NA
"2564","Clupeocotyle brevoortia",1916,1
"2565","Cobboldia elephantis",1902,NA
"2566","Cobboldia loxodontis",1938,NA
"2567","Cobboldia roverei",2001,NA
"2568","Cobboldina vivipara",1961,1
"2569","Cochleotrema cochleotrema",1979,2
"2570","Cochleotrema indicum",1975,1
"2571","Codiostomum struthionis",1920,1
"2572","Codonocephalus mutabilis",1904,1
"2573","Coeliodidymocystis kamegaii",1964,1
"2574","Coenurus cerebralis",1901,10
"2575","Coenurus serialis",1890,3
"2576","Coeuritrema macrotesticularis",1961,NA
"2577","Coeuritrema platti",2015,NA
"2578","Coitocaecum anaspidis",1951,4
"2579","Coitocaecum plagiorchis",2001,12
"2580","Coitocaecum sp.",1933,NA
"2581","Coitocaecum tylogonium",1951,1
"2582","Collarogerulus blairi",1979,NA
"2583","Collastoma kozloffi",1959,NA
"2584","Collastoma pyramidocapsum",1982,NA
"2585","Collicocephalus baggioi",2004,NA
"2586","Collyriclum colei",1907,NA
"2587","Collyriclum faba",1914,18
"2588","Colobostrongylus strongi",1927,NA
"2589","Colocyntotrema sp.",1995,NA
"2590","Colymbilepis multistriata",1960,5
"2591","Complexobursa vjetnamensis",1996,NA
"2592","Concinnocotyla australensis",1988,2
"2593","Concinnum bulbocirrus",1983,NA
"2594","Concinnum ghanensis",1957,NA
"2595","Concinnum procyonis",1969,NA
"2596","Concinnum taiwanensis",1958,NA
"2597","Confluaria pseudofurifera",1993,NA
"2598","Conodiplostomum asymmetricum",1987,1
"2599","Conspicuum aenigma",1959,NA
"2600","Conspicuum icteridorum",1927,7
"2601","Conspicuum macrorchis",1939,NA
"2602","Conspicuum orientale",1921,NA
"2603","Conspicuum sp.",1930,NA
"2604","Conspicuum thatcheri",1990,NA
"2605","Contortospiculum americanum",1928,NA
"2606","Contortospiculum incertum",1929,NA
"2607","Contortospiculum rheae",1911,NA
"2608","Contortus picularis",1914,NA
"2609","Contracaecum aduncum",1931,49
"2610","Contracaecum australe",1984,NA
"2611","Contracaecum brachyurus",1957,NA
"2612","Contracaecum caballeroi",1956,6
"2613","Contracaecum chaunaxi",1931,NA
"2614","Contracaecum clavatum",1937,4
"2615","Contracaecum collieri",1933,3
"2616","Contracaecum eudyptulae",1955,1
"2617","Contracaecum gadi",1941,NA
"2618","Contracaecum granulosum",1922,NA
"2619","Contracaecum habena",1951,NA
"2620","Contracaecum hagedashiae",1930,NA
"2621","Contracaecum haliaeti",1949,3
"2622","Contracaecum himeu",1958,2
"2623","Contracaecum hoffmani",1935,NA
"2624","Contracaecum hudsoni",1961,NA
"2625","Contracaecum incurvum",1931,1
"2626","Contracaecum laevicutis",1938,NA
"2627","Contracaecum magnipapillatum",1923,2
"2628","Contracaecum mansoni",1932,NA
"2629","Contracaecum melichthysi",1949,NA
"2630","Contracaecum mexicanum",1995,1
"2631","Contracaecum microcephalum",1938,48
"2632","Contracaecum micropapillatum",1921,16
"2633","Contracaecum multipapillatum",1923,38
"2634","Contracaecum nasuta",1940,NA
"2635","Contracaecum nehli",1953,1
"2636","Contracaecum ogmorhini",1965,9
"2637","Contracaecum osculatum",1921,124
"2638","Contracaecum oserskoi",1984,NA
"2639","Contracaecum ovale",1981,17
"2640","Contracaecum pelagicum",1994,1
"2641","Contracaecum plagiaticium",1963,2
"2642","Contracaecum praestriatum",1945,3
"2643","Contracaecum quadricuspe",1923,NA
"2644","Contracaecum quincuspis",1922,2
"2645","Contracaecum radiatum",1940,18
"2646","Contracaecum robustum",1933,2
"2647","Contracaecum rudolphi",1978,330
"2648","Contracaecum sp.",1912,1
"2649","Contracaecum spasskii",1956,NA
"2650","Contracaecum spiculigerum",1913,45
"2651","Contracaecum tumidus",1949,NA
"2652","Contracaecum turgidum",1923,1
"2653","Contracaecum variegatum",1993,16
"2654","Controrchis biliophilus",1926,4
"2655","Cooperia africana",1957,1
"2656","Cooperia antidorca",1930,NA
"2657","Cooperia bisonis",1923,2
"2658","Cooperia borgesi",1945,NA
"2659","Cooperia curticei",1905,17
"2660","Cooperia fuelleborni",1930,8
"2661","Cooperia hippotragusi",1945,NA
"2662","Cooperia hungi",1927,15
"2663","Cooperia mcmasteri",1920,3
"2664","Cooperia minor",1945,NA
"2665","Cooperia nodulosa",1927,3
"2666","Cooperia onchophora",2003,NA
"2667","Cooperia oncophora",1904,17
"2668","Cooperia oncophphora",1973,NA
"2669","Cooperia pectinata",1900,24
"2670","Cooperia punctata",1900,25
"2671","Cooperia reduncai",1945,NA
"2672","Cooperia serrata",1930,NA
"2673","Cooperia sp.",1893,NA
"2674","Cooperia spatulata",1955,3
"2675","Cooperia surnabada",1919,6
"2676","Cooperia yoshidai",1966,7
"2677","Corallobothrium fimbriatum",1913,11
"2678","Corallobothrium giganteum",1919,3
"2679","Corallobothrium intermedia",1981,NA
"2680","Corallobothrium intermedium",1954,NA
"2681","Corallobothrium lobosa",1916,NA
"2682","Corallobothrium minutium",1970,NA
"2683","Corallobothrium parafimbriatum",1920,1
"2684","Corallobothrium parvum",1951,NA
"2685","Corallobothrium solidum",1957,1
"2686","Corallobothrium sp.",1912,NA
"2687","Corallotaenia minutia",1920,2
"2688","Corallotaenia parva",2011,NA
"2689","Corallotaenia sp.",1976,NA
"2690","Cordonema venusta",1959,NA
"2691","Cordophilus sagittus",1939,2
"2692","Cornucopula sipinissettensis",1938,NA
"2693","Cornutohaptor nigrescensi",2003,NA
"2694","Corollapex cairae",2004,NA
"2695","Corollapex tingoi",2012,NA
"2696","Corollonema thylogale",1994,3
"2697","Corollostrongylus hypsiprymnodontis",1975,1
"2698","Coronocyclus coronatus",1899,4
"2699","Coronocyclus labiatus",1979,5
"2700","Coronocyclus labratus",1999,4
"2701","Coronocyclus sagittatus",1950,2
"2702","Coronostrongylus barkeri",1999,4
"2703","Coronostrongylus closei",1977,1
"2704","Coronostrongylus coronatus",1979,17
"2705","Coronostrongylus johnsoni",1980,6
"2706","Coronostrongylus sharmani",1983,3
"2707","Coronostrongylus spearei",1984,3
"2708","Coronostrongylus spratti",1984,2
"2709","Corrigia obscura",1952,NA
"2710","Corrigia plesiotomum",1893,NA
"2711","Corrugatocephalum ouei",1994,1
"2712","Cortiamosoides philanderi",1937,NA
"2713","Cortrema corti",1959,NA
"2714","Corynosoma arctocephali",1983,21
"2715","Corynosoma australe",1984,30
"2716","Corynosoma bullosum",1969,57
"2717","Corynosoma cetaceum",1999,7
"2718","Corynosoma clavatum",1959,14
"2719","Corynosoma constrictum",1890,22
"2720","Corynosoma enhydri",1989,2
"2721","Corynosoma falcatum",1949,3
"2722","Corynosoma hadweni",1920,8
"2723","Corynosoma hamanni",1983,88
"2724","Corynosoma mergi",1950,NA
"2725","Corynosoma obtuscens",1940,2
"2726","Corynosoma osmeri",1920,1
"2727","Corynosoma peposacae",1995,3
"2728","Corynosoma pseudohamanni",1983,41
"2729","Corynosoma reductum",1940,6
"2730","Corynosoma semerme",1904,47
"2731","Corynosoma shackletoni",1982,9
"2732","Corynosoma sp.",1885,1
"2733","Corynosoma strumosum",1868,129
"2734","Corynosoma sudsuche",1974,NA
"2735","Corynosoma turbidum",1912,NA
"2736","Corynosoma validum",1939,13
"2737","Corynosoma villosum",1936,18
"2738","Corynosoma wegeneri",1996,26
"2739","Cosmetocleithrum bifurcum",2011,NA
"2740","Cosmetocleithrum bulbocirrus",1978,1
"2741","Cosmetocleithrum confusus",1983,2
"2742","Cosmetocleithrum parvum",1979,2
"2743","Cosmetocleithrum sobrinus",1979,2
"2744","Cosmetocleithrum tortum",2011,NA
"2745","Cosmocephalus asturis",1934,1
"2746","Cosmocephalus lineata",1933,NA
"2747","Cosmocephalus obvelatus",1923,87
"2748","Cosmocephalus sp.",1937,NA
"2749","Cosmocephalus vulpis",1937,NA
"2750","Cosmocerca brasilense",2004,1
"2751","Cosmocerca brasiliense",1994,43
"2752","Cosmocerca brasiliensis",1973,NA
"2753","Cosmocerca brevicaudatum",1953,NA
"2754","Cosmocerca commutata",1954,7
"2755","Cosmocerca dukae",1927,NA
"2756","Cosmocerca japonica",1961,17
"2757","Cosmocerca longicauda",1997,1
"2758","Cosmocerca longicaudata",1995,NA
"2759","Cosmocerca novaeguineae",2002,1
"2760","Cosmocerca ornata",1953,30
"2761","Cosmocerca oroensis",2010,NA
"2762","Cosmocerca parva",1959,27
"2763","Cosmocerca podicipinus",1954,9
"2764","Cosmocerca podicipnius",1961,NA
"2765","Cosmocerca sp.",1952,NA
"2766","Cosmocerca tyleri",2002,NA
"2767","Cosmocerca vircibradici",1998,NA
"2768","Cosmocerca vrcibradici",1994,NA
"2769","Cosmocerca zugi",2002,NA
"2770","Cosmocercella anothecae",1977,1
"2771","Cosmocercella haberi",1969,5
"2772","Cosmocercella iwatsukii",1987,1
"2773","Cosmocercella minor",1995,NA
"2774","Cosmocercella phrynomantisi",2002,3
"2775","Cosmocercella phrynomatisi",2009,NA
"2776","Cosmocercella phyllomedusae",1981,3
"2777","Cosmocercella samorekensis",2009,NA
"2778","Cosmocercoides dukae",1919,1
"2779","Cosmocercoides mulitpapillata",1999,NA
"2780","Cosmocercoides pulchra",1958,NA
"2781","Cosmocercoides pulchrum",1960,NA
"2782","Cosmocercoides sp.",1929,NA
"2783","Cosmocercoides tridens",1994,5
"2784","Cosmocercoides variabilis",1930,39
"2785","Cosmocercoides varibilis",2004,NA
"2786","Cosmocercoides vcibradici",1996,NA
"2787","Cotugnia diagonopora",1927,NA
"2788","Cotugnia meggitti",1959,4
"2789","Cotugnia polyacantha",1948,3
"2790","Cotugnia polycantha",1948,NA
"2791","Cotugnia sp.",1961,NA
"2792","Cotylaspis cokeri",1918,2
"2793","Cotylaspis insignis",1897,1
"2794","Cotylaspis sinensis",1935,2
"2795","Cotylaspis sp.",1906,NA
"2796","Cotylogaster basiri",1951,NA
"2797","Cotylogaster chaetodipteri",1919,NA
"2798","Cotylogaster dinosoides",1972,NA
"2799","Cotylogaster longus",1912,NA
"2800","Cotylogaster occidentalis",1899,1
"2801","Cotylogaster sp.",1931,NA
"2802","Cotylogasteroides barrowi",1971,NA
"2803","Cotylophallus similis",1905,1
"2804","Cotylophallus venustus",1901,NA
"2805","Cotylophoron congolense",1917,NA
"2806","Cotylophoron cotylophorum",1912,61
"2807","Cotylophoron panamensis",1932,NA
"2808","Cotylophoron sp.",1936,NA
"2809","Cotylotretus grandis",1939,1
"2810","Cotylurus brevis",1995,6
"2811","Cotylurus cornutus",1991,81
"2812","Cotylurus galllinulae",1985,NA
"2813","Cotylurus platycephalus",1982,80
"2814","Cotylurus sp.",1917,NA
"2815","Cotylurus strigeoides",1978,5
"2816","Cotylurus vitellosus",1962,1
"2817","Cranifera cranifera",1931,3
"2818","Crassicauda anthonyi",1992,3
"2819","Crassicauda boopis",1961,7
"2820","Crassicauda crassicauda",1983,10
"2821","Crassicauda grampicola",1975,4
"2822","Crassicauda sp.",1937,NA
"2823","Crassicutis archosargi",1970,1
"2824","Crassicutis cichlasomae",1932,40
"2825","Crassicutis cichlasome",2010,NA
"2826","Crassicutis gerridis",1994,1
"2827","Crassicutis marina",1975,2
"2828","Crassicutis sp.",1982,NA
"2829","Crassiphiala ambloplitis",1932,NA
"2830","Crassiphiala bulboglossa",2009,22
"2831","Crassisoma samoensis",1922,NA
"2832","Crassisoma urosubulatum",1890,NA
"2833","Crassuseptum peitrafacei",2002,NA
"2834","Craterostomum acuticaudatum",1978,6
"2835","Craterostomum mucronatum",1932,1
"2836","Craterostomum sp.",1930,NA
"2837","Crenosoma decoratum",1925,1
"2838","Crenosoma goblei",1963,1
"2839","Crenosoma mephitidis",1920,2
"2840","Crenosoma microbursa",1941,NA
"2841","Crenosoma petrowi",1976,9
"2842","Crenosoma potos",1976,1
"2843","Crenosoma semiarmatum",1920,1
"2844","Crenosoma sp.",1930,NA
"2845","Crenosoma striatum",1925,5
"2846","Crenosoma vulpis",1921,10
"2847","Crenosoma zederi",1941,NA
"2848","Crepedietta fibrillota",1939,NA
"2849","Crepidobothrium fragile",1922,NA
"2850","Crepidobothrium gerrardii",1893,2
"2851","Crepidobothrium mephitis",1927,NA
"2852","Crepidobothrium sp.",1931,NA
"2853","Crepidostomum affine",2005,NA
"2854","Crepidostomum ambloplitis",1912,NA
"2855","Crepidostomum auriculatum",1989,12
"2856","Crepidostomum auritum",2005,1
"2857","Crepidostomum brevivitellum",1907,2
"2858","Crepidostomum canadense",1911,NA
"2859","Crepidostomum cooperi",1907,40
"2860","Crepidostomum cornatum",1912,NA
"2861","Crepidostomum cornumtum",1925,NA
"2862","Crepidostomum cornutum",1898,18
"2863","Crepidostomum farionis",1905,80
"2864","Crepidostomum fausti",1932,NA
"2865","Crepidostomum ictaluri",1935,4
"2866","Crepidostomum illinoiense",1910,4
"2867","Crepidostomum isostomum",1929,8
"2868","Crepidostomum laureatum",1925,NA
"2869","Crepidostomum lintoni",1893,2
"2870","Crepidostomum metoecus",1973,50
"2871","Crepidostomum opeongoensis",1996,3
"2872","Crepidostomum percopsisi",1934,1
"2873","Crepidostomum petalosum",1930,NA
"2874","Crepidostomum salmoides",1930,NA
"2875","Crepidostomum salmonis",1933,1
"2876","Crepidostomum serpentium",1935,NA
"2877","Crepidostomum sp.",1910,NA
"2878","Crepidostomum transmarinum",1932,1
"2879","Creptotrema funduli",1933,3
"2880","Creptotrema lynchi",1975,2
"2881","Creptotrema muelleri",1953,NA
"2882","Creptotrematina aguirrepequenoi",1978,2
"2883","Creptotrematina dissimilis",1990,1
"2884","Cricocephalus albus",1901,6
"2885","Cricocephalus delitescens",1906,NA
"2886","Cricocephalus megastomus",1902,3
"2887","Cricocephalus resectus",1902,NA
"2888","Crinicleidus sp.",1970,NA
"2889","Crocodilicola pseudostoma",1935,7
"2890","Crossobothrium angustum",1911,1
"2891","Crossobothrium laciniatum",1883,1
"2892","Crossobothrium sp.",1923,NA
"2893","Crossocephalus sp.",1986,NA
"2894","Crossocephalus viviparus",1978,4
"2895","Crossocephalus zebrae",1920,1
"2896","Crossophorus collaris",1920,1
"2897","Crossophorus sp.",1948,NA
"2898","Cruzia americana",1956,2
"2899","Cruzia mexicana",1968,2
"2900","Cruzia orientalis",1932,3
"2901","Cruzia rudolphi",1987,23
"2902","Cruzia sp.",1935,NA
"2903","Cruzia tentaculata",1837,10
"2904","Cruzia testudinis",1929,NA
"2905","Cryphobothrium sp.",1922,NA
"2906","Cryptocephalum petreum",2010,NA
"2907","Cryptocephalum spiralis",2010,NA
"2908","Cryptocollaritrema provesiculatum",1972,NA
"2909","Cryptocotyle (Tocotrema)",1910,NA
"2910","Cryptocotyle concava",1897,118
"2911","Cryptocotyle jejuna",1912,15
"2912","Cryptocotyle lingua",1896,128
"2913","Cryptocotyle sp.",1893,NA
"2914","Cryptocotyle thapari",1953,1
"2915","Cryptogonimus chili",1903,1
"2916","Cryptogonimus chyli",1928,11
"2917","Cryptogonimus laureatum",1911,NA
"2918","Cryptogonimus sp.",1893,NA
"2919","Cryptotropa kuretanii",1958,4
"2920","Crytosomum longicaudatum",1968,NA
"2921","Crytosomum penneri",1964,NA
"2922","Ctenotaenia denticulata",1880,1
"2923","Ctenotaenia leuckarti",1889,NA
"2924","Ctenotaenia marmotae",1891,3
"2925","Ctenotaenia pectinata",1890,NA
"2926","Ctenotaenia perplexa",1894,NA
"2927","Ctenotaenia praecoquis",1894,NA
"2928","Ctenotaenia sp.",1890,NA
"2929","Ctenotaenia variabilis",1887,2
"2930","Cucullanellus kanabus",1974,2
"2931","Cucullanellus sp.",1967,2
"2932","Cucullanorhynchus constrictruncatus",1998,NA
"2933","Cucullanus (Bulbodacnitis)",1931,NA
"2934","Cucullanus annulatus",1984,4
"2935","Cucullanus barbi",1975,3
"2936","Cucullanus carettae",2009,2
"2937","Cucullanus clitellarius",1926,1
"2938","Cucullanus elegans",1890,2
"2939","Cucullanus elongatus",1981,6
"2940","Cucullanus hansoni",1949,1
"2941","Cucullanus longipapillatus",1949,NA
"2942","Cucullanus lutjani",1962,4
"2943","Cucullanus okinawanus",1985,1
"2944","Cucullanus serrata",1915,NA
"2945","Cucullanus sp.",1883,NA
"2946","Cucullanus truttae",1930,39
"2947","Cucullanus xinixisumuus",1996,NA
"2948","Culaeatrema inconstans",1982,1
"2949","Culcitella sp.",1934,1
"2950","Culuwiya cichlidorum",1999,NA
"2951","Curtuteria australis",1973,3
"2952","Curvianchoratus hexacleidus",1972,1
"2953","Cyathocephalus americanus",1911,NA
"2954","Cyathocephalus sp.",1916,NA
"2955","Cyathocephalus truncatus",1889,121
"2956","Cyathocotyle brasiliensis",1987,2
"2957","Cyathocotyle orientalis",1920,18
"2958","Cyathocotyle szidatiana",1921,2
"2959","Cyatholecithochirium gymnothoracis",1963,NA
"2960","Cyathospirura chevreuxi",1975,2
"2961","Cyathospirura transfuga",1973,NA
"2962","Cyathostoma americanus",1923,NA
"2963","Cyathostoma bronchialis",1920,5
"2964","Cyathostoma sp.",1929,NA
"2965","Cyathostoma variegatum",1994,7
"2966","Cyathostomins sp.",1986,NA
"2967","Cyathostomum alveatum",1899,3
"2968","Cyathostomum americana",1923,NA
"2969","Cyathostomum brantae",1927,NA
"2970","Cyathostomum catinatum",1889,8
"2971","Cyathostomum coronatum",1913,6
"2972","Cyathostomum coronatus",1933,NA
"2973","Cyathostomum labiatum",1889,4
"2974","Cyathostomum labiatus",1932,NA
"2975","Cyathostomum labratum",1899,6
"2976","Cyathostomum labratus",1932,NA
"2977","Cyathostomum montgomeryi",1978,4
"2978","Cyathostomum pateratum",1917,6
"2979","Cyathostomum sagittatum",1975,3
"2980","Cyathostomum sp.",1891,NA
"2981","Cyathostomum tetracanthum",1892,8
"2982","Cyathostomum variegatum",1968,NA
"2983","Cyclocoelum brasilianum",1985,17
"2984","Cyclocoelum capellum",1961,NA
"2985","Cyclocoelum elongatum",1915,1
"2986","Cyclocoelum halcyonis",1907,NA
"2987","Cyclocoelum halli",1894,NA
"2988","Cyclocoelum kossacki",1959,2
"2989","Cyclocoelum lahillei",1893,1
"2990","Cyclocoelum lanceolatum",1978,2
"2991","Cyclocoelum leidyi",1893,NA
"2992","Cyclocoelum macrorchis",1900,NA
"2993","Cyclocoelum microcotyleum",1930,NA
"2994","Cyclocoelum mutabile",1921,43
"2995","Cyclocoelum obliquum",1918,1
"2996","Cyclocoelum obscurum",1900,26
"2997","Cyclocoelum phasidi",1909,1
"2998","Cyclocoelum pseudomicrostomum",1903,1
"2999","Cyclocoelum sp.",1895,NA
"3000","Cyclocoelum triangularum",1895,NA
"3001","Cyclocoelum tringae",1978,8
"3002","Cyclocoelum vanelli",1970,1
"3003","Cyclocoelum wilsoni",1894,NA
"3004","Cyclocotyla caulolatili",1934,NA
"3005","Cyclocotyla neomaenis",1915,NA
"3006","Cyclocotyla prionoti",1914,NA
"3007","Cyclocotyloides bergstadi",2004,NA
"3008","Cyclocotyloides pinguis",1964,3
"3009","Cyclodontostomum purvisi",1962,16
"3010","Cycloplectanum beverleyburtonae",1966,2
"3011","Cycloplectanum echinophallus",1966,2
"3012","Cyclorchis varani",1926,NA
"3013","Cycloskrjabinia taborensis",1958,2
"3014","Cyclostrongylus alatus",1975,1
"3015","Cyclostrongylus elegans",1975,1
"3016","Cyclostrongylus irma",2001,NA
"3017","Cyclostrongylus kartana",1975,1
"3018","Cyclostrongylus perplexus",1974,1
"3019","Cyclostrongylus sp.",1975,NA
"3020","Cyclostrongylus wallabiae",1977,3
"3021","Cyclustera ardeae",1947,NA
"3022","Cyclustera capito",1954,4
"3023","Cyclustera ibisae",1990,13
"3024","Cyclustera ralli",2000,6
"3025","Cyclustra botauri",1947,NA
"3026","Cyclustra ralli",2003,NA
"3027","Cyclustra sp.",1962,NA
"3028","Cylicocercus alveatus",1948,NA
"3029","Cylicocyclus adersi",1948,2
"3030","Cylicocyclus ashworthi",1917,1
"3031","Cylicocyclus asini",1978,1
"3032","Cylicocyclus auriculatus",1899,5
"3033","Cylicocyclus brevicapsulatus",1925,2
"3034","Cylicocyclus elongatus",1899,9
"3035","Cylicocyclus gyalocephaloides",1948,3
"3036","Cylicocyclus insigne",1885,6
"3037","Cylicocyclus leptostomum",1919,NA
"3038","Cylicocyclus leptostomus",1918,8
"3039","Cylicocyclus nassatus",1899,10
"3040","Cylicocyclus radiatus",1917,6
"3041","Cylicocyclus sp.",1937,NA
"3042","Cylicocyclus triramosus",1978,8
"3043","Cylicocyclus ultrajectinus",1918,4
"3044","Cylicodontophorus bicoronatus",1899,5
"3045","Cylicodontophorus bidentatus",1975,NA
"3046","Cylicodontophorus euproctus",1899,5
"3047","Cylicodontophorus ihlei",1933,NA
"3048","Cylicodontophorus mettami",1983,4
"3049","Cylicodontophorus mongolica",1975,NA
"3050","Cylicodontophorus reineckei",1987,1
"3051","Cylicodontophorus schuermanni",1978,NA
"3052","Cylicodontophorus sp.",1973,NA
"3053","Cylicospirura felinea",1958,NA
"3054","Cylicospirura felineus",2005,1
"3055","Cylicospirura sp.",1956,NA
"3056","Cylicospirura subaequalis",1926,6
"3057","Cylicostephanus (Skrjabinodentus)",1975,NA
"3058","Cylicostephanus asymetricus",1934,2
"3059","Cylicostephanus bicoronatus",1971,1
"3060","Cylicostephanus bidentatus",1950,1
"3061","Cylicostephanus calicatus",1888,9
"3062","Cylicostephanus goldi",1917,7
"3063","Cylicostephanus hybridus",1934,4
"3064","Cylicostephanus labiatus",2001,NA
"3065","Cylicostephanus longibursatus",1916,8
"3066","Cylicostephanus minutus",1918,11
"3067","Cylicostephanus nassatus",2000,NA
"3068","Cylicostephanus poculatum",1918,NA
"3069","Cylicostephanus poculatus",1899,4
"3070","Cylicostephanus sp.",1932,NA
"3071","Cylicostomum equi",1933,NA
"3072","Cylicostomum labiatus",1932,NA
"3073","Cylicostomum mettami",1918,NA
"3074","Cylicostomum sp.",1916,NA
"3075","Cylicotetrapedon asymmetricus",1935,3
"3076","Cylicotetrapedon bidentatus",1932,2
"3077","Cylindropharynx brevicauda",1914,2
"3078","Cylindropharynx intermedia",1948,NA
"3079","Cylindropharynx longicauda",1978,NA
"3080","Cylindropharynx ornata",1907,1
"3081","Cylindropoharynx zebrae",1914,NA
"3082","Cylindrotaenia allisonae",1988,5
"3083","Cylindrotaenia allisoni",1968,NA
"3084","Cylindrotaenia americana",1892,51
"3085","Cylindrotaenia decidua",1992,4
"3086","Cylindrotaenia diana",1940,NA
"3087","Cylindrotaenia hickmani",1981,4
"3088","Cylindrotaenia idahoensis",1980,1
"3089","Cylindrotaenia jaegerskioeldi",1967,1
"3090","Cylindrotaenia japonica",1992,6
"3091","Cylindrotaenia malayi",1961,NA
"3092","Cylindrotaenia sp.",1937,NA
"3093","Cymatocarpus renicapite",1973,NA
"3094","Cymatocarpus undulatus",1896,2
"3095","Cymbephallus fimbriatus",1907,NA
"3096","Cymbephallus vitellosus",1905,NA
"3097","Cymbephallus vulgaris",1934,NA
"3098","Cynodiplostomum namrui",1952,2
"3099","Cynoscionicola heteracantha",1912,3
"3100","Cynoscionicola powersi",1967,3
"3101","Cypseluritrema robustum",1968,NA
"3102","Cypseluritrema spilonotopteri",1965,NA
"3103","Cypseluritrematoides longicirratus",1968,NA
"3104","Cypseluritrematoides triangularis",1963,3
"3105","Cypselurobranchitrema spilonotopteri",1965,NA
"3106","Cyrnea (Cyrnea)",1951,NA
"3107","Cyrnea americana",1988,NA
"3108","Cyrnea colini",1925,4
"3109","Cyrnea graphophasiani",1946,NA
"3110","Cyrnea neeli",1961,NA
"3111","Cyrnea piayae",1929,NA
"3112","Cyrnea sp.",1926,1
"3113","Cyrtosomum conolophi",1936,NA
"3114","Cyrtosomum longicaudata",1977,NA
"3115","Cyrtosomum mega",1973,NA
"3116","Cyrtosomum penneri",1963,2
"3117","Cyrtosomum scelopori",1968,2
"3118","Cysticercoides menidiae",1934,1
"3119","Cysticercoides sp.",1937,NA
"3120","Cysticercus bovis",1892,3
"3121","Cysticercus cellulosae",1828,5
"3122","Cysticercus elongatus",1922,NA
"3123","Cysticercus fasciolaris",1880,9
"3124","Cysticercus krabbei",1920,NA
"3125","Cysticercus lyncis",1924,NA
