"","hosts","hostclean","group"
"5615","Merluccius polylepsis","Merluccius polylepsis",NA
"5616","Notorhynchus pectorosus","Notorhynchus pectorosus",NA
"5617","Notorhynchus platycephalus","Notorhynchus platycephalus",NA
"5618","Scymnorhinus lichia","Dalatias licha","Chondrichthyes"
"5619","Torpedo ocellata","Torpedo ocellata",NA
"5620","Deania hystricosa","Deania hystricosa","Chondrichthyes"
"5621","Torpedo nobiliana","Torpedo nobiliana","Chondrichthyes"
"5622","Lepidorhinus squamosus","Lepidorhinus squamosus",NA
"5623","Raja rhina","Raja rhina","Chondrichthyes"
"5624","Caranx senegallus","Caranx senegallus","Teleostei"
"5625","Liza dumerilii","Liza dumerilii",NA
"5626","Liza richardsonii","Liza richardsonii","Teleostei"
"5627","Myxus capensis","Myxus capensis","Teleostei"
"5628","Valamugil buchanani","Valamugil buchanani","Teleostei"
"5629","Valamugil cunnesius","Valamugil cunnesius","Teleostei"
"5630","Valamugil robustus","Valamugil robustus","Teleostei"
"5631","Squalus centrina","Oxynotus centrina","Chondrichthyes"
"5632","Squalus stellaris","Scyliorhinus stellaris","Chondrichthyes"
"5633","Pagellus bogaraveo","Pagellus bogaraveo","Teleostei"
"5634","Scomber colias","Scomber colias","Teleostei"
"5635","Squatina californica","Squatina californica","Chondrichthyes"
"5636","Allothunnus fallai","Allothunnus fallai","Teleostei"
"5637","Callorhynchus capensis","Callorhinchus capensis","Chondrichthyes"
"5638","Callorhynchus milii","Callorhinchus milii","Chondrichthyes"
"5639","Chimaera monstrosa","Chimaera monstrosa","Chondrichthyes"
"5640","Himantura imbricata","Himantura imbricata","Chondrichthyes"
"5641","Himantura uarnak","Himantura uarnak","Chondrichthyes"
"5642","Pteroplatea micrura","Pteroplatea micrura",NA
"5643","Squatina australis","Squatina australis","Chondrichthyes"
"5644","Symboloporus boops","Symboloporus boops",NA
"5645","Stegostoma tigrinum","Stegostoma tigrinum",NA
"5646","Lineus ruber","Lineus ruber","Anopla"
"5647","Lineus sanguineus","Myoisophagos sanguineus","Anopla"
"5648","Lineus viridis","Lineus viridis","Anopla"
"5649","Rhopalura philinae","Rhopalura philinae",NA
"5650","Somniosus rostratus","Somniosus rostratus","Chondrichthyes"
"5651","Myliobatis californica","Myliobatis californica","Chondrichthyes"
"5652","Megachasma pelagios","Megachasma pelagios","Chondrichthyes"
"5653","Masturus oxyuropterus","Masturus lanceolatus","Teleostei"
"5654","Pentaceros richardsoni","Pseudopentaceros richardsoni","Teleostei"
"5655","Vulpecula marina","Alopias vulpinus","Chondrichthyes"
"5656","Myrmillo manazo","Myrmillo manazo",NA
"5657","Amalopenaeus elegans","Gennadas elegans","Malacostraca"
"5658","Anapagurus hyndmanni","Anapagurus hyndmanni",NA
"5659","Anapagurus laevis","Anapagurus laevis",NA
"5660","Cancer borealis","Cancer borealis","Malacostraca"
"5661","Diogenes pugilator","Diogenes pugilator",NA
"5662","Eupagurus bernhardus","Eupagurus bernhardus",NA
"5663","Lebbeus polaris","Lebbeus polaris","Malacostraca"
"5664","Macropipus arcuatus","Macropipus arcuatus","Malacostraca"
"5665","Macropipus pusillus","Macropipus pusillus","Malacostraca"
"5666","Macropodia rostrata","Macropodia rostrata","Malacostraca"
"5667","Pagurus acadianus","Pagurus acadianus","Malacostraca"
"5668","Pagurus bernhardus","Pagurus bernhardus","Malacostraca"
"5669","Palaemon elegans","Palaemon elegans","Malacostraca"
"5670","Palaemon serratus","Palaemon serratus","Malacostraca"
"5671","Palaemonetes vulgaris","Palaemonetes vulgaris","Malacostraca"
"5672","Pandalus borealis","Pandalus borealis","Malacostraca"
"5673","Pandalus montagui","Pandalus montagui","Malacostraca"
"5674","Portunus pusillus","Portunus pusillus",NA
"5675","Munidia sarsi","Munida sarsi","Malacostraca"
"5676","Munidia tenuimana","Munidia tenuimana",NA
"5677","Pagurus cuanensis","Pagurus cuanensis","Malacostraca"
"5678","Pagurus pubescens","Pagurus pubescens","Malacostraca"
"5679","Pontophilus norvegicus","Pontophilus norvegicus","Malacostraca"
"5680","Sergestes arcticus","Sergestes arcticus","Malacostraca"
"5681","Platycephalus scaber","Grammoplites scaber","Teleostei"
"5682","Arctozenus rissoi","Arctozenus risso","Teleostei"
"5683","Galeoides polydactylus","Galeoides polydactylus",NA
"5684","Lestrolepis intermedia","Lestrolepis intermedia","Teleostei"
"5685","Polyipnus polli","Polyipnus polli","Teleostei"
"5686","Serranus cabrilla","Serranus cabrilla","Teleostei"
"5687","Gonorhynchus gonorhynchus","Gonorynchus gonorynchus","Teleostei"
"5688","Heterodontus francisci","Heterodontus francisci","Chondrichthyes"
"5689","Parupeneus multifasciatus","Parupeneus multifasciatus","Teleostei"
"5690","Cynoglossus macrolepidotus","Cynoglossus macrolepidotus","Teleostei"
"5691","Scomberomorus regalis","Scomberomorus regalis","Teleostei"
"5692","Epinephelus alexandrinus","Epinephelus alexandrinus",NA
"5693","Epinephelus goreensis","Epinephelus goreensis","Teleostei"
"5694","Fistularia tabaccaria","Fistularia tabaccaria",NA
"5695","Hynnis goreensis","Hynnis goreensis",NA
"5696","Synaphobranchus pinnatus","Synaphobranchus kaupii","Teleostei"
"5697","Pomadasys peroteti","Pomadasys peroteti",NA
"5698","Selene dorsalis","Selene dorsalis","Teleostei"
"5699","Vorner septipinnus","Vorner septipinnus",NA
"5700","Sphyrna tudes","Sphyrna tudes","Chondrichthyes"
"5701","Sphyrna diplana","Sphyrna lewini","Chondrichthyes"
"5702","Pellona elongata","Ilisha elongata","Teleostei"
"5703","Erethistes enlongata","Erethistes enlongata",NA
"5704","Cynoglossus sunusarabici","Cynoglossus sunusarabici",NA
"5705","Pomadasys incisus","Pomadasys incisus","Teleostei"
"5706","Sarda australis","Sarda australis","Teleostei"
"5707","Selene setapinnis","Selene setapinnis","Teleostei"
"5708","Box boops","Box boops",NA
"5709","Mustelus manazo","Mustelus manazo","Chondrichthyes"
"5710","Sphoeroides pachygaster","Sphoeroides pachygaster","Teleostei"
"5711","Argentina kagoshimae","Argentina kagoshimae","Teleostei"
"5712","Pseudorhombus pentophthalmus","Pseudorhombus pentophthalmus","Teleostei"
"5713","Xystrias grigorjewi","Xystrias grigorjewi",NA
"5714","Pristipoma bennetti","Pristipoma bennetti",NA
"5715","Carcharias acutus","Rhizoprionodon acutus","Chondrichthyes"
"5716","Tachysurus feliceps","Tachysurus feliceps",NA
"5717","Lepidotrigla modesta","Lepidotrigla modesta","Teleostei"
"5718","Argyropelecus aculeatus","Argyropelecus aculeatus","Teleostei"
"5719","Pseudoxenomystax albescens","Pseudoxenomystax albescens",NA
"5720","Rajella leopardus","Rajella leopardus","Chondrichthyes"
"5721","Bassanago albescens","Bassanago albescens",NA
"5722","Raja leopardus","Raja leopardus",NA
"5723","Scoliodon sorrakowah","Scoliodon sorrakowah",NA
"5724","Liosaccus cutaneus","Liosaccus cutaneus",NA
"5725","Johnius vogleri","Johnius vogleri","Teleostei"
"5726","Trachurus declivis","Trachurus declivis","Teleostei"
"5727","Derichthys serpentinus","Derichthys serpentinus","Teleostei"
"5728","Gonostoma elongatum","Gonostoma elongatum","Teleostei"
"5729","Lycoteuthis diadema","Lycoteuthis lorigera","Cephalopoda"
"5730","Nessorhamphus ingolfianus","Nessorhamphus ingolfianus","Teleostei"
"5731","Acanthurus coeruleus","Acanthurus coeruleus","Teleostei"
"5732","Bagre bahiensis","Hargitrema bagre","Trematoda"
"5733","Prionotus triacanthus","Teleostei","Teleostei"
"5734","Wallagonia attu","Wallagonia attu",NA
"5735","Acanthurus caeruleus","Acanthurus caeruleus",NA
"5736","Alutera schoepfi","Alutera schoepfi",NA
"5737","Arius latiscutatus","Arius latiscutatus","Teleostei"
"5738","Carcharhinus platyodon","Carcharhinus platyodon",NA
"5739","Corvina nigrata","Corvina nigrata",NA
"5740","Corvina nigrita","Corvina nigrita",NA
"5741","Cynoponticus ferox","Cynoponticus ferox","Teleostei"
"5742","Cynoscion milberti","Neoheterobothrium cynoscioni","Trematoda"
"5743","Dasyatis margarita","Dasyatis margarita","Chondrichthyes"
"5744","Dentex macrophthalmus","Dentex macrophthalmus","Teleostei"
"5745","Diplodus sargus","Diplodus sargus","Teleostei"
"5746","Galeichthys milberti","Galeichthys milberti",NA
"5747","Galeocerdo cuvier","Galeocerdo cuvier","Chondrichthyes"
"5748","Galeorhinus laevis","Galeorhinus laevis",NA
"5749","Opsanus tau","Opsanus tau","Teleostei"
"5750","Peprilus alepidotus","Peprilus paru","Teleostei"
"5751","Peprilus burti","Peprilus burti","Teleostei"
"5752","Peprilus triacanthus","Peprilus triacanthus","Teleostei"
"5753","Psettias sebae","Psettias sebae",NA
"5754","Pseudolithus elongatus","Pseudolithus elongatus",NA
"5755","Pseudolithus typus","Pseudolithus typus",NA
"5756","Pseudotolithus brachygnathus","Pseudotolithus brachygnathus","Teleostei"
"5757","Pseudotolithus elongatus","Pseudotolithus elongatus","Teleostei"
"5758","Pseudotolithus typus","Pseudotolithus typus","Teleostei"
"5759","Scomberomorus cavella","Scomberomorus cavella",NA
"5760","Balistes polylepis","Balistes polylepis","Teleostei"
"5761","Chelidonichthys kumu","Chelidonichthys kumu","Teleostei"
"5762","Cynoglossus senegalensis","Cynoglossus senegalensis","Teleostei"
"5763","Petrocephalus bane","Petrocephalus bane","Teleostei"
"5764","Pseudupeneus cyclostomus","Parupeneus cyclostomus","Teleostei"
"5765","Johnius ruber","Johnius ruber",NA
"5766","Hilsa hilsa","Acanthogyrus indicus","Eoacanthocephala"
"5767","Carcharias walbeehmi","Rhizoprionodon acutus","Chondrichthyes"
"5768","Hyporhamphus dussumieri","Hyporhamphus dussumieri","Teleostei"
"5769","Tylosurus crocodilus","Tylosurus crocodilus","Teleostei"
"5770","Tylosurus raphidoma","Tylosurus raphidoma",NA
"5771","Eriscion nebulosus","Eriscion nebulosus",NA
"5772","Penaeus aztecus","Farfantepenaeus aztecus","Malacostraca"
"5773","Penaeus duorarum","Farfantepenaeus duorarum","Malacostraca"
"5774","Penaeus brasiliensis","Farfantepenaeus aztecus","Malacostraca"
"5775","Aptychotrema bougainvillei","Aptychotrema bougainvillei",NA
"5776","Dasyatis lata","Dasyatis latus","Chondrichthyes"
"5777","Eucrossorhinus dasypogon","Eucrossorhinus dasypogon","Chondrichthyes"
"5778","Himantura toshi","Himantura toshi",NA
"5779","Myliobatis australis","Myliobatis australis","Chondrichthyes"
"5780","Penaeus merguiensis","Fenneropenaeus merguiensis","Malacostraca"
"5781","Rhinobatos planiceps","Rhinobatos planiceps","Chondrichthyes"
"5782","Trygon pastinaca","Trygon pastinaca",NA
"5783","Upogebia stellata","Upogebia stellata","Malacostraca"
"5784","Dasyatis marmorata","Dasyatis marmorata",NA
"5785","Mustelus mento","Mustelus mento","Chondrichthyes"
"5786","Mustelus punctulatus","Mustelus punctulatus","Chondrichthyes"
"5787","Raja trachyderma","Raja trachyderma",NA
"5788","Torpedo torpedo","Torpedo torpedo","Chondrichthyes"
"5789","Squatina angelus","Squatina squatina","Chondrichthyes"
"5790","Lagenorhynchus albirostris","Lagenorhynchus albirostris","Mammalia"
"5791","Carcharhinus gangeticus","Glyphis gangeticus","Chondrichthyes"
"5792","Cynoscion nothus","Cynoscion nothus","Teleostei"
"5793","Pogonias cromis","Pogonias cromis","Teleostei"
"5794","Pseudotolithus senegalensis","Pseudotolithus senegalensis","Teleostei"
"5795","Sciaena gilberti","Sciaena gilberti",NA
"5796","Sciaena hololepidota","Sciaena hololepidota",NA
"5797","Sciaenops ocellata","Sciaenops ocellata",NA
"5798","Scoliodon lalandii","Scoliodon lalandii",NA
"5799","Sillago robusta","Sillago robusta","Teleostei"
"5800","Umbrina coroides","Umbrina coroides","Teleostei"
"5801","Rhinobatos granulatus","Rhinobatos granulatus","Chondrichthyes"
"5802","Diomedea chlororhyncha","Diomedea chlororhyncha",NA
"5803","Aetobatus tenuicaudatus","Aetobatus tenuicaudatus",NA
"5804","Platyrhinoides triseriata","Platyrhinoides triseriata",NA
"5805","Pomadasys olivaceus","Pomadasys olivaceus","Teleostei"
"5806","Carangoides equula","Carangoides equula","Teleostei"
"5807","Abalistes stellatus","Abalistes stellatus","Teleostei"
"5808","Balistes mitis","Sufflamen fraenatum","Teleostei"
"5809","Cephalopholis cyanostigma","Cephalopholis cyanostigma","Teleostei"
"5810","Cephalopholis sonnerati","Cephalopholis sonnerati","Teleostei"
"5811","Coryphaesopia cornuta","Aesopia cornuta","Teleostei"
"5812","Epinephelus malabaricus","Epinephelus malabaricus","Teleostei"
"5813","Epinephelus suillus","Epinephelus suillus",NA
"5814","Gymnosarda unicolor","Gymnosarda unicolor","Teleostei"
"5815","Lethrinus ornatus","Lethrinus ornatus","Teleostei"
"5816","Lutjanus dodecacanthus","Lutjanus dodecacanthus",NA
"5817","Lutjanus gibbus","Lutjanus gibbus","Teleostei"
"5818","Naso vlamingii","Naso vlamingii","Teleostei"
"5819","Plectropomus leopardus","Plectropomus leopardus","Teleostei"
"5820","Plectropomus maculatus","Plectropomus maculatus","Teleostei"
"5821","Pseudocaranx dentex","Pseudocaranx dentex","Teleostei"
"5822","Rhinecanthus rectangulus","Rhinecanthus rectangulus","Teleostei"
"5823","Serranus undolossus","Serranus undolossus",NA
"5824","Sufflamen fraenatus","Sufflamen fraenatum","Teleostei"
"5825","Chaeturichthys hexanema","Amblychaeturichthys hexanema","Teleostei"
"5826","Aesopia cornuta","Aesopia cornuta","Teleostei"
"5827","Alosa mediocris","Alosa mediocris","Teleostei"
"5828","Brevoortia tyrannus","Brevoortia tyrannus","Teleostei"
"5829","Calamus calamus","Calamus calamus","Teleostei"
"5830","Carangoides malabaricus","Carangoides malabaricus","Teleostei"
"5831","Galeocerdo arcticus","Galeocerdo arcticus",NA
"5832","Hemigaleus balfouri","Chaenogaleus macrostoma","Chondrichthyes"
"5833","Pomolobus mediocris","Alosa mediocris","Teleostei"
"5834","Pristipoma coro","Pristipoma coro",NA
"5835","Pteroplatea maclura","Pteroplatea maclura",NA
"5836","Trachinotus botla","Trachinotus botla","Teleostei"
"5837","Trichiurus savala","Lepturacanthus savala","Teleostei"
"5838","Trygon centrura","Trygon centrura",NA
"5839","Gazza minuta","Gazza minuta","Teleostei"
"5840","Rhinoptera bonasus","Rhinoptera bonasus","Chondrichthyes"
"5841","Gadus brandti","Gadus brandti",NA
"5842","Alopias superciliosus","Alopias superciliosus","Chondrichthyes"
"5843","Alepocephalus rostratus","Alepocephalus rostratus","Teleostei"
"5844","Lepidoleprus trachyrhynchus","Lepidoleprus trachyrhynchus",NA
"5845","Pristiurus melanostomus","Pristiurus melanostomus",NA
"5846","Scymnus lichia","Scymnus lichia",NA
"5847","Scymnus rostratus","Scymnus rostratus",NA
"5848","Cephalorhynchus commersonii","Cephalorhynchus commersonii","Mammalia"
"5849","Uranoscopus oligolepis","Uranoscopus oligolepis","Teleostei"
"5850","Macrodon ancylodon","Macrodon ancylodon","Teleostei"
"5851","Sepia officinalis","Sepia officinalis","Cephalopoda"
"5852","Rhinoraja longi","Rhinoraja longicauda","Chondrichthyes"
"5853","Buccinum undatum","Buccinum undatum","Gastropoda"
"5854","Bathyraja aleutica","Bathyraja aleutica","Chondrichthyes"
"5855","Bathyraja interrupta","Bathyraja interrupta","Chondrichthyes"
"5856","Bathyraja parmifera","Bathyraja parmifera","Chondrichthyes"
"5857","Bathyraja smirnovi","Bathyraja smirnovi","Chondrichthyes"
"5858","Hydrolagus affinis","Hydrolagus affinis","Chondrichthyes"
"5859","Rhinochimaera atlantica","Rhinochimaera atlantica","Chondrichthyes"
"5860","Harriotta raleighana","Harriotta raleighana","Chondrichthyes"
"5861","Macrorhynchus crocea","Macrorhynchus crocea",NA
"5862","Onoba aculeus","Onoba aculeus","Gastropoda"
"5863","Rhopalura littoralis","Rhopalura littoralis",NA
"5864","Nephthys ciliata","Nephthys ciliata",NA
"5865","Psilaster andromeda","Psilaster andromeda","Asteroidea"
"5866","Pteraster miliaris","Pteraster miliaris",NA
"5867","Pteraster militaris","Pteraster militaris","Asteroidea"
"5868","Myliobatis goodei","Myliobatis goodei","Chondrichthyes"
"5869","Myliobatis chilensis","Myliobatis chilensis","Chondrichthyes"
"5870","Rhinobatos philippi","Rhinobatos philippi",NA
"5871","Myliobatis noctula","Myliobatis noctula",NA
"5872","Scyliorhinus stellaris","Scyliorhinus stellaris","Chondrichthyes"
"5873","Scyllium stellare","Scyllium stellare",NA
"5874","Trygon brucho","Trygon brucho",NA
"5875","Narcine brasiliensis","Narcine brasiliensis","Chondrichthyes"
"5876","Raja marginata","Raja marginata",NA
"5877","Torpedo narce","Torpedo narce",NA
"5878","Gymnura micrura","Gymnura micrura","Chondrichthyes"
"5879","Himantura schmardae","Himantura schmardae","Chondrichthyes"
"5880","Rioraja castelnaui","Rioraja castelnaui",NA
"5881","Dasyatis guttata","Dasyatis guttata","Chondrichthyes"
"5882","Gymnura marmorata","Gymnura marmorata","Chondrichthyes"
"5883","Urotrygon venezuelae","Urotrygon venezuelae","Chondrichthyes"
"5884","Zapteryx brevirostris","Zapteryx brevirostris",NA
"5885","Centrolophus niger","Centrolophus niger","Teleostei"
"5886","Centrolophus pompilus","Centrolophus pompilus",NA
"5887","Orthagoriscus mola","Orthagoriscus mola",NA
"5888","Holothuria impatiens","Holothuria impatiens","Holothuroidea"
"5889","Holothuria stellati","Holothuria stellati","Holothuroidea"
"5890","Holothuria tubulosa","Holothuria tubulosa","Holothuroidea"
"5891","Stichopus tremulus","Parastichopus tremulus","Holothuroidea"
"5892","Holothuria forskali","Holothuria forskali","Holothuroidea"
"5893","Gymnura altavela","Gymnura altavela","Chondrichthyes"
"5894","Zygaena malleus","Zygaena malleus",NA
"5895","Scomber rocheus","Scomber rocheus",NA
"5896","Sparus alcedo","Sparus alcedo",NA
"5897","Menidia menidia","Menidia menidia","Teleostei"
"5898","Centrophorus granulosus","Centrophorus granulosus","Chondrichthyes"
"5899","Sebastes viviparus","Sebastes viviparus","Teleostei"
"5900","Squalius galeus","Squalius galeus",NA
"5901","Torpedo electrica","Torpedo electrica",NA
"5902","Tylosurus imperialis","Tylosurus acus","Teleostei"
"5903","Squalus squatina","Squatina squatina","Chondrichthyes"
"5904","Onos mustela","Onos mustela",NA
"5905","Onos tricirratus","Onos tricirratus",NA
"5906","Psetta maeotica","Psetta maeotica",NA
"5907","Labrax lupus","Labrax lupus",NA
"5908","Enchelyopus cimbrius","Enchelyopus cimbrius","Teleostei"
"5909","Raniceps raninus","Raniceps raninus","Teleostei"
"5910","Mustelus schmitti","Mustelus schmitti","Chondrichthyes"
"5911","Laeviraja oxyrhynchus","Laeviraja oxyrhynchus",NA
"5912","Pagurus pollicaris","Pagurus pollicaris","Malacostraca"
"5913","Squalus galeus","Galeorhinus galeus","Chondrichthyes"
"5914","Carcharhinus sorrah","Carcharhinus sorrah","Chondrichthyes"
"5915","Sphyrna mokarran","Sphyrna mokarran","Chondrichthyes"
"5916","Merluccius albidus","Merluccius albidus","Teleostei"
"5917","Merluccius virens","Teleostei","Teleostei"
"5918","Eugomphodus taurus","Carcharias taurus","Chondrichthyes"
"5919","Sepia elegans","Sepia elegans","Cephalopoda"
"5920","Sepietta obscura","Sepietta petersi","Cephalopoda"
"5921","Sepietta oweniana","Sepietta oweniana","Cephalopoda"
"5922","Sepiola rondeletii","Sepiola rondeletii","Cephalopoda"
"5923","Sepiola steenstrupiana","Sepiola steenstrupiana","Cephalopoda"
"5924","Octopus defilippi","Octopus defilippi","Cephalopoda"
"5925","Octopus macropus","Octopus macropus","Cephalopoda"
"5926","Rondeletiola minor","Rondeletiola minor","Cephalopoda"
"5927","Sepietta neglecta","Sepietta neglecta","Cephalopoda"
"5928","Octopus burryi","Octopus burryi","Cephalopoda"
"5929","Bathypolypus arcticus","Bathypolypus arcticus","Cephalopoda"
"5930","Octopus salutii","Octopus salutii","Cephalopoda"
"5931","Sepia orbignyana","Sepia orbignyana","Cephalopoda"
"5932","Cetorhinus maximus","Cetorhinus maximus","Chondrichthyes"
"5933","Rhinoptera steindachneri","Rhinoptera steindachneri","Chondrichthyes"
"5934","Rajella bathyphila","Rajella bathyphila","Chondrichthyes"
"5935","Bathyraja richardsoni","Bathyraja richardsoni","Chondrichthyes"
"5936","Raja porosa","Raja porosa",NA
"5937","Raja georgiana","Amblyraja georgiana","Chondrichthyes"
"5938","Nebalia bipes","Nebalia bipes","Malacostraca"
"5939","Nebalia pugettensis","Nebalia pugettensis","Malacostraca"
"5940","Macoma nasuta","Macoma nasuta","Bivalvia"
"5941","Coelorhinchus karrerae","Coelorhinchus karrerae",NA
"5942","Coryphaenoides brevibarbis","Coryphaenoides brevibarbis","Teleostei"
"5943","Coryphaenoides leptolepis","Coryphaenoides leptolepis","Teleostei"
"5944","Coryphaenoides carapinus","Coryphaenoides carapinus","Teleostei"
"5945","Coryphaenoides armatus","Coryphaenoides armatus","Teleostei"
"5946","Chelidonichthys obscura","Chelidonichthys obscura",NA
"5947","Eualis machilenta","Eualis machilenta",NA
"5948","Rhinobatos rhinobatos","Rhinobatos rhinobatos","Chondrichthyes"
"5949","Rhinobatos cemiculus","Rhinobatos cemiculus","Chondrichthyes"
"5950","Coelorhinchus braueri","Coelorhinchus braueri",NA
"5951","Dipturus trachyderma","Dipturus trachyderma","Chondrichthyes"
"5952","Lophiodes mutilus","Lophiodes mutilus","Teleostei"
"5953","Atlantoraja castelnaui","Atlantoraja castelnaui","Chondrichthyes"
"5954","Kahala axillaries","Kahala axillaries",NA
"5955","Trachinocephalus myops","Trachinocephalus myops","Teleostei"
"5956","Upeneus bensasi","Upeneus bensasi","Teleostei"
"5957","Upeneus tragula","Upeneus tragula","Teleostei"
"5958","Upeneus vittatus","Upeneus vittatus","Teleostei"
"5959","Cerastoderma lamarckii","Cerastoderma lamarckii",NA
"5960","Abra ovata","Abra ovata",NA
"5961","Ruditapes decussatus","Ruditapes decussatus",NA
"5962","Alepocephalus agassizi","Alepocephalus agassizii","Teleostei"
"5963","Alepocephalus bairdi","Alepocephalus bairdii","Teleostei"
"5964","Acanthochaenus lutkenii","Acanthochaenus luetkenii","Teleostei"
"5965","Eurypharynx pelecanoides","Eurypharynx pelecanoides","Teleostei"
"5966","Xenodermichthys copei","Xenodermichthys copei","Teleostei"
"5967","Rossia macrosoma","Rossia macrosoma","Cephalopoda"
"5968","Sepia esculenta","Sepia esculenta","Cephalopoda"
"5969","Astropecten irregularis","Astropecten irregularis","Asteroidea"
"5970","Anoxypristis microdon","Chondrichthyes","Chondrichthyes"
"5971","Taeniura grabata","Taeniura grabata","Chondrichthyes"
"5972","Xyrichthys novacula","Xyrichtys novacula","Teleostei"
"5973","Mobula hypostoma","Mobula hypostoma","Chondrichthyes"
"5974","Lineus lacteus","Lineus lacteus","Anopla"
"5975","Amphipholis squamata","Amphipholis squamata","Ophiuroidea"
"5976","Pteroplatytrygon violacea","Pteroplatytrygon violacea","Chondrichthyes"
"5977","Paracentrotus lividus","Paracentrotus lividus","Echinoidea"
"5978","Echinus esculentus","Echinus esculentus","Echinoidea"
"5979","Diadema antillarum","Diadema antillarum","Echinoidea"
"5980","Echinometra lucunter","Echinometra lucunter","Echinoidea"
"5981","Echinometra viridis","Echinometra viridis","Echinoidea"
"5982","Lytechinus variegatus","Lytechinus variegatus","Echinoidea"
"5983","Lytechinus williamsi","Lytechinus williamsi","Echinoidea"
"5984","Echinus acutus","Echinus acutus","Echinoidea"
"5985","Psammechinus miliari","Psammechinus miliari",NA
"5986","Sphaerechinus granularis","Sphaerechinus granularis","Echinoidea"
"5987","Echinometra vanbrunti","Echinometra vanbrunti",NA
"5988","Strongylocentrotus franciscanus","Strongylocentrotus franciscanus","Echinoidea"
"5989","Strongylocentrotus purpuratus","Strongylocentrotus purpuratus","Echinoidea"
"5990","Tripneustes ventricosus","Tripneustes ventricosus","Echinoidea"
"5991","Lytechinus anamesus","Lytechinus anamesus","Echinoidea"
"5992","Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis","Echinoidea"
"5993","Ptychophallus tristani","Ptychophallus tristani",NA
"5994","Procambarus digueti","Procambarus digueti","Malacostraca"
"5995","Pseudothelphusa jouyi","Pseudothelphusa jouyi",NA
"5996","Tehuana veracruzana","Tehuana veracruzana",NA
"5997","Spinax niger","Spinax niger",NA
"5998","Maena zebra","Maena zebra",NA
"5999","Pleuronectes pegusa","Microchirus ocellatus","Teleostei"
"6000","Malacoraja senta","Malacoraja senta","Chondrichthyes"
"6001","Raja senta","Malacoraja senta","Chondrichthyes"
"6002","Pristiophorus cirratus","Pristiophorus cirratus","Chondrichthyes"
"6003","Raja cerva","Raja cerva",NA
"6004","Trygonorhina fasciata","Trygonorhina fasciata",NA
"6005","Urolophus expansus","Urolophus expansus","Chondrichthyes"
"6006","Urolophus lobatus","Urolophus lobatus","Chondrichthyes"
"6007","Urolophus paucimaculatus","Urolophus paucimaculatus","Chondrichthyes"
"6008","Raja whitleyi","Raja whitleyi",NA
"6009","Raja montereyensis","Raja montereyensis",NA
"6010","Dasyatis brevis","Dasyatis brevis","Chondrichthyes"
"6011","Heterodontus japonicus","Heterodontus japonicus","Chondrichthyes"
"6012","Urolophus cruciatus","Urolophus cruciatus","Chondrichthyes"
"6013","Gymnura australis","Gymnura australis","Chondrichthyes"
"6014","Raja kenojei","Raja kenojei",NA
"6015","Urolophus fuscus","Urolophus fuscus",NA
"6016","Diplobatis ommata","Diplobatis ommata","Chondrichthyes"
"6017","Narcine entemedor","Narcine entemedor",NA
"6018","Squalus japonicus","Squalus japonicus","Chondrichthyes"
"6019","Dasyatis zugei","Dasyatis zugei","Chondrichthyes"
"6020","Heterodontus portusjacksoni","Heterodontus portusjacksoni","Chondrichthyes"
"6021","Orectolobus maculatus","Orectolobus maculatus","Chondrichthyes"
"6022","Dasyatis kuhlii","Dasyatis kuhlii","Chondrichthyes"
"6023","Psammobatis scobina","Psammobatis scobina","Chondrichthyes"
"6024","Aetomylaeus nichofii","Aetomylaeus nichofii",NA
"6025","Urolophus bucculentus","Urolophus bucculentus","Chondrichthyes"
"6026","Heterodontus mexicanus","Heterodontus mexicanus","Chondrichthyes"
"6027","Raja nasuta","Raja nasuta",NA
"6028","Himantura pacifica","Himantura pacifica","Chondrichthyes"
"6029","Coscinasterias calamaria","Coscinasterias calamaria","Asteroidea"
"6030","Taeniura lymma","Taeniura lymma","Chondrichthyes"
"6031","Urobatis maculatus","Urobatis maculatus","Chondrichthyes"
"6032","Etmopterus baxteri","Etmopterus baxteri","Chondrichthyes"
"6033","Furgaleus macki","Furgaleus macki","Chondrichthyes"
"6034","Ancistromesus mexicanus","Ancistromesus mexicanus",NA
"6035","Collisella discors","Collisella discors",NA
"6036","Collisella pediculus","Collisella pediculus",NA
"6037","Fissurella decemcostata","Fissurella decemcostata",NA
"6038","Fissurella gemmata","Fissurella gemmata",NA
"6039","Mustelus lunulatus","Mustelus lunulatus","Chondrichthyes"
"6040","Rhina ancylostoma","Rhina ancylostoma","Chondrichthyes"
"6041","Holothuria atra","Holothuria atra","Holothuroidea"
"6042","Stichopus chloronotus","Stichopus chloronotus",NA
"6043","Stichopus horrens","Stichopus horrens","Holothuroidea"
"6044","Stichopus variegatus","Stichopus variegatus",NA
"6045","Parupeneus pleurotaenia","Parupeneus ciliatus","Teleostei"
"6046","Rossia pacifica","Rossia pacifica","Cephalopoda"
"6047","Sepioteuthis lessoniana","Sepioteuthis lessoniana","Cephalopoda"
"6048","Octopus bimaculatus","Octopus bimaculatus","Cephalopoda"
"6049","Octopus apollyon","Octopus apollyon",NA
"6050","Carcharhinus porosus","Carcharhinus porosus","Chondrichthyes"
"6051","Penaeus longistylus","Melicertus longistylus","Malacostraca"
"6052","Rhinobatos typus","Rhinobatos typus","Chondrichthyes"
