"","hosts","hostclean","group"
"234","Cyprinodon variegatus","Cyprinodon variegatus","Teleostei"
"235","Paralichthys lethostigmus","Paralichthys lethostigmus",NA
"236","Mullus surmuletus","Mullus surmuletus","Teleostei"
"237","Pseudupeneus prayensis","Pseudupeneus prayensis","Teleostei"
"238","Callionymus phaeton","Synchiropus phaeton","Teleostei"
"239","Chlorophthalmus agassizi","Chlorophthalmus agassizi","Teleostei"
"240","Coelorhinchus coelorhynchus","Coelorhinchus coelorhynchus",NA
"241","Gadiculus argenteus","Gadiculus argenteus","Teleostei"
"242","Helicolenus dactylopterus","Helicolenus dactylopterus","Teleostei"
"243","Phycis blennoides","Phycis blennoides","Teleostei"
"244","Acanthurus strigosus","Acanthurus strigosus",NA
"245","Chanos chanos","Chanos chanos","Teleostei"
"246","Asio otus","Asio otus","Aves"
"247","Bubo bubo","Bubo bubo","Aves"
"248","Buteo buteo","Buteo buteo","Aves"
"249","Circus aeruginosus","Circus aeruginosus","Aves"
"250","Falco tinnunculus","Falco tinnunculus","Aves"
"251","Haliaeetus albicilla","Haliaeetus albicilla","Aves"
"252","Mergus albellus","Mergellus albellus","Aves"
"253","Natrix natrix","Natrix natrix","Reptilia"
"254","Neomys anomalus","Neomys anomalus","Mammalia"
"255","Otus scops","Otus scops","Aves"
"256","Sorex araneus","Sorex araneus","Mammalia"
"257","Sorex minutus","Sorex minutus","Mammalia"
"258","Strix aluco","Strix aluco","Aves"
"259","Strix uralensis","Strix uralensis","Aves"
"260","Vipera berus","Vipera berus","Reptilia"
"261","Canis familiaris","Canis lupus","Mammalia"
"262","Scops scops","Otus scops","Aves"
"263","Dacelo novaeguineae","Dacelo novaeguineae","Aves"
"264","Halcyon sancta","Todiramphus sanctus","Aves"
"265","Sauropatis sancta","Sauropatis sancta",NA
"266","Miichthys miiuy","Miichthys miiuy","Teleostei"
"267","Miichthys mi-iuy","Miichthys mi-iuy",NA
"268","Pangasius pangasius","Pangasius pangasius","Teleostei"
"269","Alopex lagopus","Vulpes lagopus","Mammalia"
"270","Leucocarbo fuscescens","Leucocarbo fuscescens",NA
"271","Phalacrocorax atriceps","Leucocarbo atriceps","Aves"
"272","Phalacrocorax melanoleucos","Microcarbo melanoleucos","Aves"
"273","Phalacrocorax sulcirostris","Phalacrocorax sulcirostris","Aves"
"274","Phalacrocorax varius","Phalacrocorax varius","Aves"
"275","Phalacrocorax verrucosus","Leucocarbo verrucosus","Aves"
"276","Platycephalus arenarius","Platycephalus arenarius","Teleostei"
"277","Platycephalus bassensis","Platycephalus bassensis","Teleostei"
"278","Platycephalus fuscus","Platycephalus fuscus","Teleostei"
"279","Platycephalus richardsoni","Neoplatycephalus richardsoni","Teleostei"
"280","Anas acuta","Anas acuta","Aves"
"281","Anas americana","Anas americana","Aves"
"282","Anas carolinensis","Anas crecca","Aves"
"283","Anas crecca","Anas crecca","Aves"
"284","Anas discors","Anas discors","Aves"
"285","Anas platyrhynchos","Anas platyrhynchos","Aves"
"286","Anas rubripes","Anas rubripes","Aves"
"287","Aythya marila","Aythya marila","Aves"
"288","Bucephala albeola","Bucephala albeola","Aves"
"289","Cygnus buccinator","Cygnus buccinator","Aves"
"290","Cygnus olor","Cygnus olor","Aves"
"291","Erismatura jamaicensis","Erismatura jamaicensis",NA
"292","Fulica americana","Fulica americana","Aves"
"293","Melanitta deglandi","Melanitta fusca","Aves"
