"","Parasite","genus","year","hs","first"
"36309","Capillaria medjerdae","Capillaria",1964,1,"not the first"
"36310","Capillaria myotisi","Capillaria",1987,1,"not the first"
"36311","Capillaria vanelli","Capillaria",1819,2,"not the first"
"36313","Ctenodactylina tunetae","Ctenodactylina",1969,1,"exclude"
"36314","Diplotriaena artemisiana","Diplotriaena",1925,1,"not the first"
"36315","Diplotriaena boulengeri","Diplotriaena",1956,1,"not the first"
"36316","Excisa excisa","Excisa",1860,1,"first"
"36317","Galebia aegyptiaca","Galebia",1878,1,"exclude"
"36318","Hadjelia lhuillieri","Hadjelia",1916,1,"not the first"
"36319","Hilgertia hilgerti","Hilgertia",1915,1,"exclude"
"36320","Longistriata seurati","Longistriata",1929,8,"not the first"
"36328","Maupasina weissi","Maupasina",1913,1,"exclude"
"36329","Molinostrongylus ornatus","Molinostrongylus",1927,4,"not the first"
"36333","Ostertagia mentulata","Ostertagia",1909,1,"not the first"
"36334","Oswaldocruzia tunisiensis","Oswaldocruzia",1993,1,"not the first"
"36335","Physaloptera numidica","Physaloptera",1917,1,"not the first"
"36336","Rictularia taterilli","Rictularia",1928,3,"not the first"
"36339","Spirura rothschildi","Spirura",1915,2,"not the first"
"36341","Streptopharagus numidicus","Streptopharagus",1917,4,"not the first"
"36345","Synhimantus invaginata","Synhimantus",1901,4,"not the first"
"36349","Syphacia baylisi","Syphacia",1942,1,"not the first"
"36350","Tachygonetria combesi","Tachygonetria",2002,1,"not the first"
"36351","Tachygonetria poulini","Tachygonetria",2003,1,"not the first"
"36352","Tachygonetria settatensis","Tachygonetria",2003,1,"not the first"
"36353","Tachygonetria vivipara","Tachygonetria",1862,2,"first"
"36355","Trichosomoides gerbilis","Trichosomoides",1964,1,"not the first"
"36356","Trichostrongylus subtilis","Trichostrongylus",1895,6,"not the first"
"36362","Trichuris cyrenaica","Trichuris",1968,2,"not the first"
"36364","Trichuris gerbillis","Trichuris",1969,5,"not the first"
"36369","Wehrdikmansia flexuosa","Wehrdikmansia",1956,1,"exclude"
"36370","Wellcomia hilgerti","Wellcomia",1914,1,"not the first"
"36371","Alaeuris asirensis","Alaeuris",1984,1,"not the first"
"36372","Angusticaecum holopterum","Angusticaecum",1819,1,"first"
"36373","Capillaria pipistrelli","Capillaria",1941,4,"not the first"
"36377","Contracaecum malani","Contracaecum",1989,1,"not the first"
"36378","Cucullanus cyprini","Cucullanus",1941,11,"not the first"
"36389","Dentostomella tamimi","Dentostomella",1993,1,"not the first"
"36390","Diplotriaena sturni","Diplotriaena",1809,1,"not the first"
"36391","Echinocephalus pseudouncinatus","Echinocephalus",1963,5,"not the first"
"36396","Echinocephalus uncinatus","Echinocephalus",1858,9,"first"
"36406","Filaria melis","Filaria",NA,1,"not the first"
"36407","Madathamugadia wanjii","Madathamugadia",1992,1,"not the first"
"36408","Megamonostomella rasheediansis","Megamonostomella",NA,1,"exclude"
"36409","Microtetrameres egretes","Microtetrameres",1960,1,"not the first"
"36410","Onchocerca fasciata","Onchocerca",1910,2,"not the first"
"36412","Oswaldocruzia arabica","Oswaldocruzia",1993,1,"not the first"
"36413","Oxyuris alata","Oxyuris",1819,1,"not the first"
"36414","Philometra karunensis","Philometra",1998,1,"not the first"
"36415","Procamallanus viviparus","Procamallanus",1956,3,"not the first"
"36418","Rhabdochona mesopotamica","Rhabdochona",1975,1,"not the first"
"36419","Rictularia qonfozi","Rictularia",1993,2,"not the first"
"36421","Rictularia ratti","Rictularia",NA,4,"not the first"
"36425","Schwenkiella salihi","Schwenkiella",1998,1,"not the first"
"36426","Setaria bernardi","Setaria",1911,1,"not the first"
"36427","Spinitectus armatus","Spinitectus",1956,2,"not the first"
"36429","Spironoura japonensis","Spironoura",1935,3,"not the first"
"36432","Streptopharagus kuntzi","Streptopharagus",NA,5,"not the first"
"36439","Tachygonetria nicollei","Tachygonetria",1918,1,"not the first"
"36443","Thamugadia wertheimae","Thamugadia",1993,1,"not the first"
"36444","Thelandros kanistica","Thelandros",1980,1,"not the first"
"36445","Thelandros massae","Thelandros",1984,3,"not the first"
"36448","Thelandros thelandros","Thelandros",NA,1,"not the first"
"36449","Trichostrongylus lerouxi","Trichostrongylus",1974,1,"not the first"
"36450","Trichuris lani","Trichuris",1948,2,"not the first"
"36452","Trichuris parvi","Trichuris",NA,1,"not the first"
"36453","Waltonella duboisi","Waltonella",1916,1,"exclude"
"36454","Acuaria pseudicettiae","Acuaria",1990,1,"not the first"
"36455","Agamermis changshaensis","Agamermis",1992,1,"exclude"
"36456","Agamermis unka","Agamermis",NA,1,"exclude"
"36457","Amphibiocapillaria bufonis","Amphibiocapillaria",1926,2,"not the first"
"36459","Amphibiophilus acanthocirratus","Amphibiophilus",1916,1,"first"
"36460","Amphibiophilus ranae","Amphibiophilus",1978,1,"not the first"
"36461","Amphicaecum excavatum","Amphicaecum",1931,1,"not the first"
"36462","Amphicaecum orientalis","Amphicaecum",1965,1,"not the first"
"36463","Ancylostoma japonica","Ancylostoma",1925,1,"not the first"
"36464","Ancylostoma kusimaense","Ancylostoma",1955,3,"not the first"
"36467","Angiostoma onychodactyla","Angiostoma",2000,1,"not the first"
"36468","Angiostrongylus malaysiensis","Angiostrongylus",1971,4,"not the first"
"36472","Angiostrongylus siamensis","Angiostrongylus",1979,1,"not the first"
"36473","Angiostrongylus ten","Angiostrongylus",1941,1,"not the first"
"36474","Anguillicola globiceps","Anguillicola",1935,8,"first"
"36483","Angusticaecum wuyensis","Angusticaecum",1981,1,"not the first"
"36484","Anisakis appendiculata","Anisakis",1850,1,"not the first"
"36485","Aonchotheca buccalis","Aonchotheca",1943,2,"not the first"
"36487","Aonchotheca crociduri","Aonchotheca",1988,1,"not the first"
"36488","Aonchotheca soricis","Aonchotheca",1988,3,"not the first"
"36491","Aplectana hylae","Aplectana",1980,1,"not the first"
"36492","Arthrostoma cheni","Arthrostoma",1958,1,"not the first"
"36493","Arthrostoma hunanensis","Arthrostoma",1982,1,"not the first"
"36494","Arthrostoma miyazakiense","Arthrostoma",1955,2,"first"
"36497","Ascaridia japalurae","Ascaridia",1935,1,"not the first"
"36498","Ascaris schroederi","Ascaris",1939,1,"not the first"
"36499","Baylisascaris schroederi","Baylisascaris",NA,1,"not the first"
"36500","Ascarophis malmae","Ascarophis",1959,1,"not the first"
"36501","Ascarops mogera","Ascarops",1989,2,"not the first"
"36504","Avioserpens sichuanensis","Avioserpens",1964,6,"not the first"
"36510","Baruscapillaria cincli","Baruscapillaria",1941,1,"not the first"
"36512","Bidentostomum ivashkini","Bidentostomum",1958,1,"exclude"
"36513","Binema mirzaia","Binema",1940,2,"not the first"
"36516","Bourgelatia diducta","Bourgelatia",1919,1,"exclude"
"36520","Bursaphelenchus xylophilus","Bursaphelenchus",NA,1,"not the first"
"36521","Camallanus hypophthalmichthys","Camallanus",1954,1,"not the first"
"36522","Camallanus intermedius","Camallanus",1931,1,"not the first"
"36523","Spirocamallanus intermedius","Spirocamallanus",1974,2,"not the first"
"36525","Camallanus zacconis","Camallanus",1941,1,"not the first"
"36526","Cameronia biovata","Cameronia",1948,4,"first"
"36532","Capillaria bufonis","Capillaria",1926,1,"not the first"
"36535","Capillaria calliopis","Capillaria",1941,1,"not the first"
"36537","Capillaria cincli","Capillaria",1941,1,"not the first"
"36538","Capillaria crossostomae","Capillaria",1987,1,"not the first"
"36544","Capillaria emberizae","Capillaria",1941,4,"not the first"
"36548","Capillaria fudingensis","Capillaria",1982,2,"not the first"
"36550","Capillaria fujianensis","Capillaria",1982,1,"not the first"
"36551","Capillaria fuzhouensis","Capillaria",1982,1,"not the first"
"36552","Capillaria honghuensis","Capillaria",1993,1,"not the first"
"36553","Capillaria mogurndae","Capillaria",1941,1,"not the first"
"36554","Capillaria ptyasi","Capillaria",1982,2,"not the first"
"36556","Capillaria ranae","Capillaria",1982,1,"not the first"
"36557","Capillaria retusa","Capillaria",1893,1,"not the first"
"36558","Capillaria sinipercae","Capillaria",1993,1,"not the first"
"36559","Cardiostrongylus sikae","Cardiostrongylus",1995,1,"exclude"
"36560","Cercopithifilaria japonica","Cercopithifilaria",1983,1,"not the first"
"36561","Cercopithifilaria shohoi","Cercopithifilaria",1998,2,"not the first"
"36563","Chitwoodiella ovofilamenta","Chitwoodiella",1948,3,"first"
"36566","Clavinema parasiluri","Clavinema",1935,2,"not the first"
"36568","Contracaecum himeu","Contracaecum",1941,2,"not the first"
"36570","Contracaecum milvi","Contracaecum",1935,3,"not the first"
"36574","Cosmocerca japonica","Cosmocerca",1938,16,"not the first"
"36591","Cosmocercella iwatsukii","Cosmocercella",1989,1,"not the first"
"36592","Cosmocercella multipapillata","Cosmocercella",1958,1,"not the first"
"36593","Cosmocercella oligodontis","Cosmocercella",1981,1,"not the first"
"36594","Cosmocercella pulchra","Cosmocercella",1930,1,"not the first"
"36595","Cosmocercoides pulcher","Cosmocercoides",1930,5,"not the first"
"36600","Cosmocercoides tridens","Cosmocercoides",1930,5,"not the first"
"36605","Cucullanus anguillae","Cucullanus",1975,1,"not the first"
"36606","Cucullanus carettae","Cucullanus",1923,2,"not the first"
"36608","Cucullanus filiformis","Cucullanus",NA,1,"not the first"
"36609","Cucullanus fujianensis","Cucullanus",1984,1,"not the first"
"36610","Cyrnea colini","Cyrnea",1927,4,"not the first"
"36614","Cyrnea excisiformis","Cyrnea",1935,1,"not the first"
"36615","Cyrnea graphophasiana","Cyrnea",1935,3,"not the first"
"36618","Cystidicola brevicauda","Cystidicola",1939,1,"not the first"
"36619","Dentiphilometra monopteri","Dentiphilometra",2002,1,"exclude"
"36620","Dipetalonema gracile","Dipetalonema",1809,11,"first"
"36631","Diplogaster coronata","Diplogaster",1893,1,"exclude"
"36632","Diplotriaena bargusinica","Diplotriaena",1917,8,"not the first"
"36640","Diplotriaena manipoli","Diplotriaena",1931,1,"not the first"
"36641","Diplotriaena nipponensis","Diplotriaena",1941,1,"not the first"
"36642","Diplotriaena tangi","Diplotriaena",1989,2,"not the first"
"36644","Dirofilaria ailure","Dirofilaria",1961,1,"not the first"
"36645","Dirofilaria timidi","Dirofilaria",1966,1,"not the first"
"36646","Echinocephalus pteroplatea","Echinocephalus",1978,2,"not the first"
"36648","Echinuria cincli","Echinuria",1935,1,"not the first"
"36649","Enterobius macaci","Enterobius",1973,1,"not the first"
"36650","Eustrongylides elegans","Eustrongylides",1816,1,"not the first"
"36651","Eustrongylides sinicus","Eustrongylides",1943,1,"not the first"
"36652","Euzetoda ludovici","Euzetoda",2003,1,"exclude"
"36653","Evaginuris evaginata","Evaginuris",1908,2,"exclude"
"36655","Ezonema bicornis","Ezonema",1971,3,"exclude"
"36658","Filaria cingulum","Filaria",1902,1,"not the first"
"36659","Filaria papillosa","Filaria",NA,1,"not the first"
"36661","Filaria sanguinis","Filaria",NA,1,"not the first"
"36662","Globocephalus connorfilii","Globocephalus",NA,1,"not the first"
"36663","Globocephalus samoensis","Globocephalus",1922,1,"not the first"
"36665","Gnathostoma malaysiae","Gnathostoma",1965,3,"not the first"
"36668","Goezia nankingensis","Goezia",1933,5,"not the first"
"36674","Goezia oncorhynchi","Goezia",1940,1,"not the first"
"36675","Gongylonema macrogubernaculum","Gongylonema",1931,1,"not the first"
"36677","Halocercus pingi","Halocercus",1929,2,"not the first"
"36679","Hedruris miyakoensis","Hedruris",1989,1,"not the first"
"36680","Heliconema longissima","Heliconema",1923,4,"not the first"
"36684","Heligmonoides alishanensis","Heligmonoides",1990,1,"not the first"
"36685","Heligmonoides ikeharai","Heligmonoides",1990,1,"not the first"
"36686","Heligmonoides ryukyensis","Heligmonoides",1982,1,"not the first"
"36687","Heligmonoides taiwanensis","Heligmonoides",1990,1,"not the first"
"36688","Heligmosomoides asakawae","Heligmosomoides",2001,1,"not the first"
"36689","Heligmosomoides protobullosus","Heligmosomoides",1987,1,"not the first"
"36690","Heligmosomum asakawai","Heligmosomum",1996,1,"not the first"
"36691","Heligmosomum halli","Heligmosomum",1926,1,"not the first"
"36692","Heligmosomum halli","Heligmosomum",NA,1,"not the first"
"36693","Heligmosomum hasegawai","Heligmosomum",1987,3,"not the first"
"36698","Heligmosomum mongolicum","Heligmosomum",1976,1,"not the first"
"36699","Heterakis bonasae","Heterakis",1927,2,"not the first"
"36701","Hexamermis heterocephalis","Hexamermis",1990,1,"not the first"
"36702","Hexamermis taihuensis","Hexamermis",1990,1,"not the first"
"36703","Hysterothylacium amoyense","Hysterothylacium",1933,1,"not the first"
"36704","Hysterothylacium haze","Hysterothylacium",1978,1,"not the first"
"36705","Hysterothylacium okadai","Hysterothylacium",1940,1,"not the first"
"36706","Hysterothylacium salvelini","Hysterothylacium",1940,1,"not the first"
"36707","Ichthyascaris biwakoensis","Ichthyascaris",1928,6,"first"
"36713","Icosiella kobayasii","Icosiella",1941,1,"not the first"
"36714","Indocucullanus muraenesocis","Indocucullanus",1983,1,"not the first"
"36715","Kalicephalus assimilis","Kalicephalus",1938,1,"not the first"
"36716","Kalicephalus brachycephalus","Kalicephalus",1931,11,"not the first"
"36727","Kalicephalus bungari","Kalicephalus",1918,3,"not the first"
"36730","Kalicephalus chunkinensis","Kalicephalus",1934,7,"not the first"
"36737","Kalicephalus costatus","Kalicephalus",1819,8,"first"
"36738","Kalicephalus costatus","Kalicephalus",1923,8,"first"
"36745","Kalicephalus fujianensis","Kalicephalus",1980,1,"not the first"
"36751","Kalicephalus indicus","Kalicephalus",1923,2,"not the first"
"36753","Kalicephalus laticaudae","Kalicephalus",1935,1,"not the first"
"36754","Kalicephalus posterovolvus","Kalicephalus",1962,5,"not the first"
"36759","Kalicephalus sinensis","Kalicephalus",1934,5,"not the first"
"36764","Kalicephalus variabilis","Kalicephalus",1962,2,"not the first"
"36766","Kalicephalus willeyi","Kalicephalus",1904,3,"not the first"
"36770","Kamegainema cingulum","Kamegainema",1902,2,"exclude"
"36772","Kathlania leptura","Kathlania",1819,2,"first"
"36774","Liniscus hokkaidensis","Liniscus",1988,3,"not the first"
"36777","Lissonema mongolicum","Lissonema",1954,1,"not the first"
"36778","Longistriata leporis","Longistriata",1935,1,"not the first"
"36779","Longistriata musasabi","Longistriata",1941,1,"not the first"
"36780","Longistriata yamashitai","Longistriata",NA,1,"not the first"
"36781","Mammanidula hokkaidensis","Mammanidula",1968,4,"exclude"
"36785","Marshallagia qilianensis","Marshallagia",1993,1,"not the first"
"36786","Marshallagia qinghaiensis","Marshallagia",1993,1,"not the first"
"36787","Marshallagia schumakovitschi","Marshallagia",1959,1,"not the first"
"36788","Mermis xianensis","Mermis",1995,4,"not the first"
"36792","Metaquimperia hemibagri","Metaquimperia",1987,1,"first"
"36793","Meteterakis amamiensis","Meteterakis",1990,3,"not the first"
"36796","Meteterakis bufonis","Meteterakis",1935,1,"not the first"
"36797","Meteterakis govindi","Meteterakis",1930,1,"first"
"36798","Meteterakis ishikawanae","Meteterakis",1987,2,"not the first"
"36800","Meteterakis japonica","Meteterakis",1930,4,"first"
"36804","Meteterakis paucipapillosa","Meteterakis",1980,1,"not the first"
"36805","Mexiconema liobagri","Mexiconema",1998,1,"not the first"
"36806","Mirzaiella haroldi","Mirzaiella",1968,2,"not the first"
"36808","Moguranema nipponicum","Moguranema",1941,3,"exclude"
"36812","Molinostrongylus rhinolophi","Molinostrongylus",1941,3,"not the first"
"36815","Monhystrium brevis","Monhystrium",1990,4,"first"
"36819","Monhystrium tenuis","Monhystrium",1990,4,"first"
"36823","Morganiella cricetuli","Morganiella",1981,1,"not the first"
"36824","Neocapillaria phoxini","Neocapillaria",1994,1,"exclude"
"36825","Neoentomelas asatoi","Neoentomelas",1989,2,"exclude"
"36827","Neoraillietnema ranae","Neoraillietnema",1980,1,"not the first"
"36828","Neyraplectana ranae","Neyraplectana",1980,1,"not the first"
"36829","Nippostrongylus muris","Nippostrongylus",1920,6,"not the first"
"36836","Nycteridostrongylus uncicollis","Nycteridostrongylus",1930,1,"exclude"
"36837","Obeliscoides leporis","Obeliscoides",1931,1,"not the first"
"36838","Obeliscoides sichuanensis","Obeliscoides",1993,1,"not the first"
"36839","Octomyomermis chongqingensis","Octomyomermis",1990,1,"not the first"
"36840","Oesophagostomum aculeatum","Oesophagostomum",1879,6,"not the first"
"36848","Oesophagostomum apiostomum","Oesophagostomum",1891,2,"not the first"
"36850","Omeia hoeppli","Omeia",1933,2,"first"
"36852","Onchocerca dewittei","Onchocerca",1977,2,"not the first"
"36853","Onchocerca dewittei","Onchocerca",2001,2,"not the first"
"36855","Ophidascaris agkistrodontis","Ophidascaris",1979,1,"not the first"
"36856","Ophidascaris excavata","Ophidascaris",1931,1,"not the first"
"36857","Ophidascaris filaria","Ophidascaris",1845,4,"first"
"36861","Orientostrongylus chinensis","Orientostrongylus",NA,1,"exclude"
"36862","Orientostrongylus ezoensis","Orientostrongylus",NA,1,"exclude"
"36863","Orientostrongylus tenorai","Orientostrongylus",1970,5,"exclude"
"36868","Oswaldocruzia heparia","Oswaldocruzia",1939,1,"not the first"
"36869","Oswaldocruzia hoeppli","Oswaldocruzia",1935,5,"not the first"
"36874","Oswaldocruzia insulae","Oswaldocruzia",1926,4,"not the first"
"36879","Oswaldocruzia mitunagai","Oswaldocruzia",1993,1,"not the first"
"36880","Oswaldocruzia peipingensis","Oswaldocruzia",1940,2,"not the first"
"36882","Oswaldocruzia socialis","Oswaldocruzia",1926,5,"not the first"
"36887","Ovomermis sinensis","Ovomermis",1991,9,"exclude"
"36896","Oxysomatium macintoshii","Oxysomatium",1914,3,"not the first"
"36899","Oxysomatium macintoshii","Oxysomatium",1969,3,"not the first"
"36900","Oxysomatium macintoshii","Oxysomatium",1966,3,"not the first"
"36901","Oxyuris vermicularis","Oxyuris",NA,1,"not the first"
"36902","Paracapillaria kuntzi","Paracapillaria",1986,3,"not the first"
"36905","Paracosmocerca microhylae","Paracosmocerca",1978,1,"not the first"
"36906","Paracosmocerca mucronata","Paracosmocerca",1945,4,"first"
"36910","Paracosmocerca pulchrae","Paracosmocerca",1978,1,"not the first"
"36911","Paracuaria macdonaldi","Paracuaria",1951,2,"not the first"
"36913","Paraheterotyphlum australe","Paraheterotyphlum",1948,7,"first"
"36920","Paraheterotyphlum ophiophagos","Paraheterotyphlum",1973,1,"not the first"
"36921","Parapharyngodon japonicus","Parapharyngodon",1999,1,"not the first"
"36922","Parathelandros hemidactylus","Parathelandros",1979,1,"not the first"
"36923","Parathelandros orientalis","Parathelandros",1980,1,"not the first"
"36924","Pareterakis howardi","Pareterakis",1933,1,"exclude"
"36925","Paronchocerca bambusicolae","Paronchocerca",1933,2,"first"
"36927","Pharurus asiaeorientalis","Pharurus",1982,1,"not the first"
"36928","Pharyngodon apapillosus","Pharyngodon",NA,1,"not the first"
"36929","Pharyngodon geckinis","Pharyngodon",1941,1,"not the first"
"36930","Pharyngodon polypedatis","Pharyngodon",1941,1,"not the first"
"36931","Philometra carassii","Philometra",1933,1,"not the first"
"36932","Philometra coreii","Philometra",1997,1,"not the first"
"36933","Philometra cyprini","Philometra",1964,1,"not the first"
"36934","Philometra fujimotoi","Philometra",1932,1,"not the first"
"36935","Philometra gobioboti","Philometra",1997,1,"not the first"
"36936","Philometra inimici","Philometra",1941,2,"not the first"
"36938","Philometra plotosi","Philometra",1989,1,"not the first"
"36939","Philometroides carassii","Philometroides",1931,1,"not the first"
"36940","Philometroides fulvidraconi","Philometroides",1993,1,"not the first"
"36941","Philometroides ganzhounensis","Philometroides",1998,5,"not the first"
"36946","Philometroides masu","Philometroides",1940,2,"not the first"
"36948","Physaloptera agkistrodontis","Physaloptera",1981,1,"not the first"
"36949","Physaloptera varani","Physaloptera",1889,3,"not the first"
"36952","Physalopteriata phrynocephali","Physalopteriata",1985,1,"not the first"
"36953","Physalopteroides dryophisi","Physalopteroides",1940,1,"not the first"
"36954","Pingus sinensis","Pingus",1933,6,"first"
"36960","Polydelphis anoura","Polydelphis",1845,5,"not the first"
"36965","Porrocaecum huanglongensis","Porrocaecum",1989,1,"not the first"
"36966","Porrocaecum phalacrocoracis","Porrocaecum",1941,1,"not the first"
"36976","Procamallanus parasiluri","Procamallanus",1927,2,"not the first"
"36978","Pseudabbreviata yambarensis","Pseudabbreviata",1984,1,"not the first"
"36981","Pseudohaplonema geoclemydis","Pseudohaplonema",1978,1,"exclude"
"36982","Pseudonymus hydrophili","Pseudonymus",NA,2,"not the first"
"36984","Pseudophysaloptera formosana","Pseudophysaloptera",1922,4,"first"
"36988","Pseudorhabdochona mabianensis","Pseudorhabdochona",1999,2,"exclude"
"36990","Pseudoxyascaris japonicus","Pseudoxyascaris",1979,1,"exclude"
"36991","Pterygodermatites tani","Pterygodermatites",1929,1,"not the first"
"36992","Pterygodermatites whartoni","Pterygodermatites",1931,2,"not the first"
"36994","Raillietnema rhacophori","Raillietnema",1965,1,"not the first"
"36995","Raphidascaris biwakoensis","Raphidascaris",1928,5,"not the first"
"37001","Raphidascaris gigi","Raphidascaris",1928,1,"not the first"
"37002","Raphidascaris leiocassis","Raphidascaris",1965,2,"not the first"
"37004","Rhabdias annulosa","Rhabdias",1933,3,"not the first"
"37007","Rhabdias biconis","Rhabdias",1934,1,"not the first"
"37008","Rhabdias globocephala","Rhabdias",1945,1,"not the first"
"37009","Rhabdias horigutii","Rhabdias",1943,2,"not the first"
"37011","Rhabdias incerta","Rhabdias",1930,4,"not the first"
"37015","Rhabdias japalurae","Rhabdias",2003,2,"not the first"
"37017","Rhabdias nipponica","Rhabdias",1935,10,"not the first"
"37028","Rhabdias ophidia","Rhabdias",1924,1,"not the first"
"37029","Rhabdias tokyoensis","Rhabdias",1930,1,"not the first"
"37030","Rhabditella axei","Rhabditella",1884,1,"exclude"
"37031","Rhabditis elongatus","Rhabditis",1900,1,"not the first"
"37032","Rhabdochona brevichona","Rhabdochona",1994,1,"not the first"
"37033","Rhabdochona cyprini","Rhabdochona",1997,1,"not the first"
"37034","Rhabdochona euchiloglanis","Rhabdochona",1949,1,"not the first"
"37035","Rhabdochona gobioboti","Rhabdochona",1997,1,"not the first"
"37036","Rhabdochona japonica","Rhabdochona",1975,1,"not the first"
"37037","Rhabdochona leptobotiae","Rhabdochona",1984,1,"not the first"
"37038","Rhabdochona minjiangensis","Rhabdochona",1975,1,"not the first"
"37039","Rhabdochona pseudecheneis","Rhabdochona",1983,1,"not the first"
"37040","Rhabdochona sinense","Rhabdochona",1997,1,"not the first"
"37041","Rhabdochona synechogobii","Rhabdochona",1976,1,"not the first"
"37042","Rhabdochona wuyiensis","Rhabdochona",1981,1,"not the first"
"37043","Rhabdochona zacconis","Rhabdochona",1935,2,"not the first"
"37045","Rictularia changshaensis","Rictularia",1990,1,"not the first"
"37046","Rictularia mjoebergi","Rictularia",1928,1,"not the first"
"37047","Rictularia rhinolophi","Rictularia",1977,1,"not the first"
"37048","Rinadia andreevae","Rinadia",NA,1,"exclude"
"37049","Rinadia japonica","Rinadia",NA,1,"exclude"
"37051","Romanomermis chenzhouensis","Romanomermis",1987,1,"not the first"
"37052","Romanomermis sichuanesis","Romanomermis",NA,1,"not the first"
"37053","Romanomermis wuchangensis","Romanomermis",NA,3,"not the first"
"37056","Romanomermis yunanensis","Romanomermis",1987,2,"not the first"
"37058","Salvelinema amemasu","Salvelinema",1939,1,"not the first"
"37059","Salvelinema iwana","Salvelinema",1928,2,"not the first"
"37061","Salvelinema kosugii","Salvelinema",1939,1,"not the first"
"37062","Salvelinema oncorhynchi","Salvelinema",1939,1,"not the first"
"37063","Salvelinema salvelini","Salvelinema",1939,1,"not the first"
"37064","Sarconema eurycerca","Sarconema",1939,3,"first"
"37067","Schistorophus fukienensis","Schistorophus",1990,2,"not the first"
"37069","Setaria digitata","Setaria",1906,6,"not the first"
"37075","Setaria marshalli","Setaria",1931,1,"not the first"
"37076","Seuratia procellariae","Seuratia",1941,1,"not the first"
"37077","Seuratia puffini","Seuratia",1941,2,"not the first"
"37079","Singhiella singhi","Singhiella",1958,3,"exclude"
"37082","Sinocapillaria phoxini","Sinocapillaria",1994,1,"exclude"
"37083","Sinoichthyonema ctenopharyngodoni","Sinoichthyonema",1965,1,"first"
"37084","Skrjabinelazia machidai","Skrjabinelazia",1984,5,"not the first"
"37089","Skrjabinocapillaria giganteus","Skrjabinocapillaria",1984,1,"not the first"
"37091","Skrjabinoclava tringae","Skrjabinoclava",1991,1,"not the first"
"37092","Soboliphyme abei","Soboliphyme",1988,2,"not the first"
"37094","Soboliphyme ataahai","Soboliphyme",2003,1,"not the first"
"37095","Spiculopteragia houdemeri","Spiculopteragia",1927,2,"not the first"
"37098","Spiculopteragia yamashitai","Spiculopteragia",NA,1,"not the first"
"37100","Spinitectus ranae","Spinitectus",1926,3,"not the first"
"37103","Spinitectus wulingensis","Spinitectus",1997,7,"not the first"
"37110","Spirofilaria podicipitis","Spirofilaria",1935,1,"exclude"
"37111","Spironoura babei","Spironoura",1971,2,"not the first"
"37113","Spironoura geoclemydis","Spironoura",1979,1,"not the first"
"37114","Spironoura wuyiensis","Spironoura",1981,1,"not the first"
"37115","Spiroxys hanzaki","Spiroxys",1998,5,"not the first"
"37120","Spiroxys japonica","Spiroxys",1926,5,"not the first"
"37125","Spirura nipponensis","Spirura",1972,1,"not the first"
"37126","Stefanskostrongylus yagii","Stefanskostrongylus",1988,1,"not the first"
"37127","Stegophorus alcedonis","Stegophorus",1991,1,"not the first"
"37128","Steinernema kushidai","Steinernema",1988,1,"not the first"
"37129","Steinernema longicaudum","Steinernema",1992,1,"not the first"
"37130","Stephanurus dentatus","Stephanurus",1839,2,"exclude"
"37134","Sterliadochona ephemeridarum","Sterliadochona",1872,20,"exclude"
"37158","Streptopharagus armatus","Streptopharagus",1912,1,"not the first"
"37159","Streptopharagus pigmentatus","Streptopharagus",1897,4,"first"
"37164","Strongylacantha rhinolophii","Strongylacantha",1935,1,"not the first"
"37165","Strongyloides planiceps","Strongyloides",1943,3,"not the first"
"37168","Strongyluris bufonis","Strongyluris",1943,1,"not the first"
"37169","Strongyluris japalurae","Strongyluris",1935,1,"not the first"
"37170","Subulura coturnicis","Subulura",1941,1,"not the first"
"37171","Subulura suzukii","Subulura",NA,1,"not the first"
"37173","Subulura taiwanensis","Subulura",1935,1,"not the first"
"37174","Suifunema caudelli","Suifunema",1932,1,"exclude"
"37175","Synhimantus groffi","Synhimantus",1934,1,"not the first"
"37176","Synhimantus nipponensis","Synhimantus",1941,1,"not the first"
"37177","Synhimantus sigmoides","Synhimantus",1860,1,"not the first"
"37178","Syphacia emileromani","Syphacia",NA,4,"not the first"
"37179","Syphacia emileromani","Syphacia",1963,4,"not the first"
"37183","Tanqua anomala","Tanqua",1904,6,"not the first"
"37189","Tanqua geoclemydis","Tanqua",1979,1,"not the first"
"37190","Tetragomphius melis","Tetragomphius",1974,2,"exclude"
"37192","Tetrameres grusi","Tetrameres",1946,2,"not the first"
"37194","Tetrameres scolopacis","Tetrameres",1935,1,"not the first"
"37195","Thominx dicruri","Thominx",1987,1,"not the first"
"37196","Thraustomermis chengduensis","Thraustomermis",1991,1,"exclude"
"37197","Toxocara anakumae","Toxocara",1966,1,"not the first"
"37198","Toxocara paradoxura","Toxocara",1958,1,"not the first"
"37199","Toxocara tanuki","Toxocara",1941,2,"not the first"
"37202","Trichocephalus cynocephalus","Trichocephalus",1951,1,"not the first"
"37203","Trichostrongylus qilianensis","Trichostrongylus",1990,1,"not the first"
"37204","Trichostrongylus qinghaiensis","Trichostrongylus",1987,1,"not the first"
"37205","Tridentocapillaria parusi","Tridentocapillaria",1970,1,"not the first"
"37206","Uncinaria felidis","Uncinaria",1939,1,"not the first"
"37207","Wakubitinema toyamai","Wakubitinema",1988,1,"exclude"
"37208","Wuinema mysti","Wuinema",1992,1,"exclude"
"37209","Yatinema japonicum","Yatinema",1986,6,"exclude"
